pid,fms_id,current_phase,current_phase_norm,agency_project_name,forecast_completion,job_open_for_charges
,CA006-022,(Pre-Design),pre-design,SLUS- Classroom  Spaces Upgrade,,true
,CA007-022,(Pre-Design),pre-design,SPS- Workspace Expansion and Welcome Center,,true
,CA008QB01,(Pending),pending,Underground High Temperature Hot Water Piping,,true
,CA022KG01,(Pre-Design),pre-design,Underground Utility Piping,,true
,CA022KG02,(Pre-Design),pre-design,Seawall Exterior Lighting,,true
,CA022QB01,(Pre-Design),pre-design,Boiler Improvements,,true
,CA025BX01,(Pending),pending,CW IT Cabling Upgrade,,true
,CA025QB04,(Pending),pending,Roof Reconstruction Phase 3,,true
,CA025QB05,(Pending),pending,Library Elevator Reconstruction,,true
,CA025QB06,(Pending),pending,Motor Controls and Electrical Panels Upgrades,,true
,CA026YC01,(Pending),pending,Laboratory Fume Hood Replacement,,true
,CA026YC02,(Pending),pending,Science Building Roof Replacement,,true
,CA032-013,(Completed),completed,Center for Innovation and Entrepreneurship,,false
,CA034HS13,(Pending),pending,500 Grand Concourse 3rd Floor Renovation,,true
,CA034KG13,(Pre-Design),pre-design,Gas Booster Pump Upgrade,,true
,CA036-014,(Pre-Design),pre-design,Hostos CC: Allied Health and Sciences Building,,true
,CA049-019,(Completed),completed,CUNY In The Heights,,false
,CA049-022,(Pending),pending,CUNY in the Heights -Media Room Construction/Renovation,,true
,CA055QB17,(Land Purchase),land purchase,CUNY ASAP Expansion,,true
,CA056-020,(Pre-Design),pre-design,John Jay School of Law,,true
,CA056QB17,(Pending),pending,CUNY ASAP Expansion,,true
,CA091BX23,(Pending),pending,Hall of Fame Roof Replacement,,true
,CA091HS96,(Completed),completed,Hostos Retaining Wall Project,,false
,CA091KG02,(Pre-Design),pre-design,HVAC Improvements HVAC Improvements,,true
,CA091KG03,(Pending),pending,LL97 Gym HVAC Units Replacement,,true
,CA091LG22,(Completed),completed,E Building North Roof Replacement,,false
,CA091LG23,(Pre-Design),pre-design,LGCC M Building HVAC Replacement,,true
,CA091QB23,(Pre-Design),pre-design,QBCC - Science and Med Arts Elevator Project,,true
,CA091QB24,(Pending),pending,LL97 AHU Replacement,,true
,CA091QB26,(Pending),pending,LL97 Heat Recovery Boiler Plant,,true
,CA200BX04,(Completed),completed,BX COLSTON AND MEISTER HALL LL11,,false
,CA201BX21,(Pending),pending,Bronx CC - Philosophy Hall Roof Replacement,,true
,CA201MC04,(Completed),completed,BMCC RAMP & PLAZA PEDESTAL REPAIRS,,false
,CA201MC25,(Pending),pending,Theatre 1 Sewer Pipe Replacement,,true
,CA202-006,(Completed),completed,ADA Compliance,,false
,CA202MC01,(Completed),completed,ADA BATHROOM UPGRADES FOR BMCC,,false
,CA234KG13,(Pending),pending,Library Roof Replacement,,true
,CC001-024,(Pre-Design),pre-design,MOYNIHAN CENTER UPGRADE OF FACILITY SPACE,,true
,CC001-025,(Pending),pending,MARSHAK HALL LECTURE HALLS RENOVATION,,true
,CC001-026,(Pending),pending,NAC MULTIMEDIA LECTURE HALL AT CITY COLLEGE OF NEW YORK,,true
,CC002-025,(Pending),pending,CUNY School of Medicine/ City College of New York - Reno,,true
,CC022-012,(Completed),completed,Schiff House Day Care Center Upgrades,,false
,CC026-013,(Pre-Design),pre-design,Aaron Davis Hall,,true
,CC039-017,(Pre-Design),pre-design,Street Improvements,,true
,CC041-018,(Pre-Design),pre-design,Wireless Network Upgrade Expansion,,true
,CC042-018,(Pre-Design),pre-design,Facility Upgrades,,true
,CC045-019,(Pre-Design),pre-design,Kitchen Upgrade for the Culinary Program,,true
,CL001-024,(Pre-Design),pre-design,CUNY SCHOOL OF LAW REPURPOSE SPACE,,true
,CL001-026,(Pending),pending,CUNY Law - WORKER EDUCATION AND DEVELOPMENT CENTER,,true
,CL001-027,(Pending),pending,ADA ENTRANCE UPGRADES,,true
,GR001-025,(Pending),pending,UPGRADE THE ELEBASH RECITAL HALL LOBBY,,true
,GR001-026,(Pending),pending,Graduate Center - Library Archives Renovation,,true
,GR010-022,(Pre-Design),pre-design,Recital Hall & Theater Upgrades,,true
,GR017-014,(Completed),completed,Bathroom and HVAC Upgrades,,false
,GR018-015,(Pre-Design),pre-design,Library Renovations,,true
,GR022-017,(Pre-Design),pre-design,Ninth Floor Reconstruction,,true
,GR023-017,(Pre-Design),pre-design,Improvement of Public Spaces,,true
,GR029-020,(Pre-Design),pre-design,AUDITORIUM SOUND SYSTEM,,true
,GU031-013,(Pre-Design),pre-design,New Community College Student Lab Renovations,,true
,GU051-015,(Pre-Design),pre-design,Guttman Comm. Coll. Building Canopy,,true
,HC001-026,(Pending),pending,GYMNASIUM RENOVATION AT HUNTER COLLEGE CAMPUS SCHOOL,,true
,HC002-024,(Pre-Design),pre-design,Playground Renovation,,true
,HC026-011,(Pre-Design),pre-design,Phone System Upgrade And Expansion,,true
,HC075-098,(Completed),completed,HVAC Improvements,,false
,HC999-000,(Pending),pending,HCS - Campus School Public Address System Replacement,,true
,HS001-024,(Pre-Design),pre-design,CAFETERIA RENOVATION,,true
,HS001-027,(Pending),pending,CHILDREN'S CENTER PLAYGROUND RENOVATIONS,,true
,HS007-010,(Pre-Design),pre-design,PEDESTRIAN BRIDGE ROOF REPLACEMENT,,true
,HS007-022,(Pre-Design),pre-design,Second Floor & Basement Renovations,,true
,HS033-007,(Pending),pending,Brick Wall Restoration/Garden Upgrades,,true
,HS034-007,(Equipment),equipment,450 Grand Concourse Theater Improvements,,true
,HS040-009,(Pre-Design),pre-design,SOUND STUDIO,,true
,HS041-011,(Completed),completed,500 Grand Concourse 4th  Floor and Emerg. Generator,,false
,HS043-011,(Pre-Design),pre-design,Hostos CC - 500 Grand Concourse Renovations,,true
,HS047-013,(Completed),completed,Savoy Building Roof Replacement,,false
,HS048-013,(Pre-Design),pre-design,Renovation and HVAC Upgrade,,true
,HS050-014,(Pre-Design),pre-design,Allied Health and Sciences Building,,true
,HS055-098,(Completed),completed,Window Rehab - 471 Walton,,false
,HS057-019,(Pre-Design),pre-design,Smart Classroom Conversion,,true
,HS059-021,(Pre-Design),pre-design,Video Projection,,true
,HU001-023,(Pre-Design),pre-design,Performing Arts Center,,true
,HU001-026,(Pending),pending,TERRACE RENOVATION PROJECT,,true
,HU002-022,(Pre-Design),pre-design,Auditorium Renovation in North Building,,true
,HU002-023,(Pre-Design),pre-design,Campus Beautification Efforts,,true
,HU002-026,(Pending),pending,Hunter College - ADA Compliance,,true
,HU003-021,(Pre-Design),pre-design,Auditorium Renovation,,true
,HU003-023,(Pre-Design),pre-design,Performing Arts Hub,,true
,HU004-021,(Pre-Design),pre-design,School of Education Renovation,,true
,HU011-022,(Pre-Design),pre-design,School of Education Renovation,,true
,HU022-009,(Completed),completed,EXPERIMENTAL PSYCHOLOGY LAB BUILDOUT,,false
,HU027-013,(Pre-Design),pre-design,SCHOOL OF NURSING/HEALTH SCIENCE RELOCATION TO C3,,true
,HU028-015,(Pre-Design),pre-design,Black Box Performance Space,,true
,HU029-015,(Pre-Design),pre-design,Black Box Media & Arts Flex Space Improvements,,true
,HU035-016,(Pre-Design),pre-design,Black Box  Theater Renovation Black Box Theater Renovation,,true
,HU036-017,(Pre-Design),pre-design,Black Box Renovation,,true
,HU037-017,(Equipment),equipment,CUNY Hunter College - Performing Arts Hub Project,,true
,HU039-018,(Pre-Design),pre-design,Performing Arts Hub - Renovate N Building Auditorium,,true
,HU040-018,(Pre-Design),pre-design,Renovate Performing Arts Hub in North Building,,true
,HU040-019,(Pre-Design),pre-design,Computer Science 10th FL. North Expansion,,true
,HU041-019,(Pre-Design),pre-design,Black Box Media Flex Space,,true
,HU043-020,(Pre-Design),pre-design,Auditorium Renovation in North Building,,true
,JJ001-021,(Pre-Design),pre-design,Multimedia Distribution System,,true
,JJ024-017,(Pre-Design),pre-design,Locker Rooms and Gym Entrance,,true
,JJ029-018,(Pre-Design),pre-design,Theater ADA Upgrades,,true
,KG001-022,(Pre-Design),pre-design,Kibbee Library & Media Center Renovations,,true
,KG001-024,(Pre-Design),pre-design,LIGHTHOUSE ROTUNDA RENOVATIONS,,true
,KG001-025,(Pre-Design),pre-design,POOL RENOVATION AND UPGRADES,,true
,KG001-026,(Pending),pending,KINGSBOROUGH CHILD DEVELOPMENT CENTER EXPANSION,,true
,KG002-022,(Pre-Design),pre-design,Off Shore Wind Training Equipment,,true
,KG002-026,(Pending),pending,ROTUNDA--LIGHTHOUSE ROTUNDA RENOVATION,,true
,KG025-009,(Completed),completed,FACILITIES FOR OCCUPATIONAL & RESPIRATORY THERAPY,,false
,KG030-012,(Completed),completed,Critical Maintenance A/P/U Buildings,,false
,KG031-013,(Pre-Design),pre-design,Renovation of Pool Facilities,,true
,KG037-015,(Pre-Design),pre-design,Science and Resilience Institute at Jamaica Bay,,true
,KG206-006,(Completed),completed,T4 Roof Replacement,,false
,LAGUARDIA,(Completed),completed,LaGuardia Community College Streetscape,,false
,LG001-024,(Pre-Design),pre-design,POOL FACILITY RENOVATION,,true
,LG001-026,(Pending),pending,LGCC - ADA ACCESSIBILITY AND COMPLIANCE UPGRADES,,true
,LG001-027,(Pending),pending,RENOVATIONS TO THE HUMANITIES AND PERFORMING ARTS FACILITIES,,true
,LG002-021,(Pre-Design),pre-design,Greenhouse Construction,,true
,LG002-024,(Pre-Design),pre-design,Student Plaza Transformation,,true
,LG003-023,(Pre-Design),pre-design,Training Space Renovation Training Space Renovation,,true
,LG020-009,(Completed),completed,NEW LIBRARY SPACE at LaGuardia CC,,false
,LG036-014,(Pre-Design),pre-design,Library Expansion and HVAC Upgrade,,true
,LG041-016,(Pending),pending,Business and Entrepreneurial Training Center,,true
,LG043-018,(Pending),pending,Shenker Hall Lab Renovation,,true
,LG071-019,(Pre-Design),pre-design,Student Success Center: Tutoring Hub,,true
,LG072-019,(Pre-Design),pre-design,Archive Construction,,true
,LM001-024,(Pre-Design),pre-design,ANIMATION LAB,,true
,LM001-026,(Pending),pending,ART GALLERY IMPROVEMENTS AT LEHMAN COLLEGE,,true
,LM001-027,(Pending),pending,CENTER FOR THE PERFORMING ARTS,,true
,LM002-021,(Pre-Design),pre-design,Teaching and Learning Innovation Space - Art,,true
,LM002-027,(Pending),pending,LOINGER HALL CRITIC UPGRADES,,true
,LM019-011,(Completed),completed,Concert Hall Lighting Upgrade / Acoustics Upgrade,,false
,LM021-012,(Pending),pending,Teaching and Learning Commons,,true
,LM022-013,(Completed),completed,One-Stop Student Services & Transfer Center,,false
,LM025-014,(Completed),completed,Cloudlink Student Lab Virtual Desktop (iCloud Upgrade),,false
,LM034-018,(Pre-Design),pre-design,Convert classrooms into NetworkSmart Rooms,,true
,LM036-019,(Completed),completed,Concert Hall Fixed Seating,,false
,LM041-020,(Pending),pending,Studio Theatre Lighting & Dimming System,,true
,LM043-021,(Pre-Design),pre-design,Social Work Department Expansion,,true
,MC001-021,(Pre-Design),pre-design,Library Interior Renovation,,true
,MC001-022,(Pre-Design),pre-design,Library Interior Renovation,,true
,MC001-023,(Pre-Design),pre-design,Learning Resource Center,,true
,MC001-024,(Pre-Design),pre-design,LEARNING RESOURCE CENTER INTERIOR RENOVATION,,true
,MC001-025,(Pending),pending,CAREER SUCCESS AND STUDENT SERVICES ENGAGEMENT CENTER,,true
,MC028-010,(Completed),completed,"CUNY: BMCC, 199 Chambers Street - EE Upgrade",,false
,MC029-012,(Completed),completed,Gymnasium Air Conditioning System,,false
,MC036-016,(Pre-Design),pre-design,Perimeter Security Lighting,,true
,MC040-018,(Pre-Design),pre-design,LED Conversion in Public Areas,,true
,MC042-018,(Completed),completed,BMCC Pedestrian Enclosed Extension,,false
,MC045-020,(Pre-Design),pre-design,Tribeca Performing Arts Center Theater 1 & 2 Lighting Upgra,,true
,ME001-023,(Pre-Design),pre-design,Campus Wide Access Lock Control & Public Address Safety,,true
,ME001-024,(Pre-Design),pre-design,Founders Auditorium Upgrade,,true
,ME001-025,(Pending),pending,MEDGAR EVERS COLLEGE: SWIMMING POOL UPGRADE,,true
,ME001-026,(Pending),pending,Medgar - FOUNDERS AUDITORIUM RENOVATION,,true
,ME018-005,(Completed),completed,LIBRARY EXPANSION,,false
,ME027-011,(Completed),completed,Carroll Street Building Upgrade,,false
,ME030-013,(Completed),completed,Upgrade of Back Lobby of the Bedford Building,,false
,ME031-013,(Completed),completed,Virtual Desktop Infrastructure,,false
,ME038-016,(Pre-Design),pre-design,Child Development Center Upgrades,,true
,ME039-017,(Pre-Design),pre-design,Student Lounge Upgrades,,true
,ME041-018,(Pre-Design),pre-design,Art and Historic Space Renovation,,true
,ME042-019,(Pre-Design),pre-design,Founder's Auditorium Renovation & Upgrades,,true
,ME043-020,(Pre-Design),pre-design,Open Computer and Lab Digital Interactive Learning Spaces,,true
,MH040-014,(Pre-Design),pre-design,Macaulay Honors College Classroom Upgrades,,true
,MH053-016,(Pre-Design),pre-design,Macaulay Honors College - New Media Lab,,true
,MH059-017,(Pre-Design),pre-design,Macaulay Honors College Data Science Lab,,true
,MH060-020,(Pre-Design),pre-design,New Media/Data Science Lab,,true
,NY001-027,(Pending),pending,NYC COLLEGE OF TECHNOLOGY: UPGRADES TO HEALTH SCIENCES SPACE,,true
,NY006-009,(Completed),completed,WELCOME CENTER AND ART GALLERY,,false
,NY024-018,(Pre-Design),pre-design,Exterior Space Improvements,,true
,NY025-018,(Completed),completed,NYC  College of Technolgy Pearl Street Building Renovation,,false
,OFFSHRWND,(Pending),pending,Offshore Wind - Development and Manufacturing,,true
,QB001-021,(Pre-Design),pre-design,ADA Restroom Upgrades,,true
,QB001-022,(Pending),pending,Renovate Chemistry Lab,,true
,QB001-023,(Pre-Design),pre-design,KENNEDY HALL GYMNASIUM - LOCKER AND SHOWER ROOM RENOVATION,,true
,QB001-026,(Pending),pending,KURT SCHEMLLER LIBRARY MODERNIZATION: LIBRARY RENOVATION,,true
,QB002-024,(Pre-Design),pre-design,Cafeteria and Kitchen Renovation Project,,true
,QB002-025,(Pending),pending,QBCC - High Temp Hot Water Lines,,true
,QB002-026,(Pending),pending,QBCC - Gym Upgrade,,true
,QB023-004,(Pending),pending,QUEENSBOROUGH FIRE ALARM,,true
,QB031-007,(Pre-Design),pre-design,Cafeteria and Central Kitchen,,true
,QB040-011,(Pending),pending,HVAC Upgrades,,true
,QB041-011,(Completed),completed,Fire Sprinklers and Standpipe System Restoration,,false
,QB054-016,(Completed),completed,Refurbishment and Upgrade of Research Labs,,false
,QB062-020,(Pending),pending,RFK Gymnasium Ventilation and Air Conditioning,,true
,QB063-020,(Equipment),equipment,Theater Upgrades (PHASE II),,true
,QC001-022,(Pre-Design),pre-design,Food and Science Mgmt Lab Renovation,,true
,QC001-023,(Pre-Design),pre-design,RENOVATION OF RATHUS HALL,,true
,QC001-025,(Pending),pending,RENOVATE THE AIR POLLUTION LA,,true
,QC001-027,(Pending),pending,AARON COPLAND SCHOOL OF MUSIC,,true
,QC002-024,(Pre-Design),pre-design,Music Building / Aaron Copland School of Music Building Reno,,true
,QC002-026,(Pending),pending,"QC - BARRY COMMONER CENTER LAB, FAMILY, NUTRITION AND EXERCI",,true
,QC003-024,(Pre-Design),pre-design,Tech Incubator,,true
,QC004-013,(Pre-Design),pre-design,Library and Classroom Space Upgrades,,true
,QC006-022,(Pre-Design),pre-design,Colden Auditorium,,true
,QC039-011,(Pre-Design),pre-design,Louis Armstrong Visitor's Center,,true
,QC047-013,(Pre-Design),pre-design,Kupferberg Renovation,,true
,QC054-015,(Completed),completed,Speech & Hearing Center Upgrade Ph 2,,false
,QC061-016,(Pre-Design),pre-design,One Stop Service Center,,true
,QC061-017,(Pre-Design),pre-design,One Stop Center,,true
,QC065-017,(Pre-Design),pre-design,Recording Studio Renovation in the Music Bldg,,true
,QC066-017,(Pre-Design),pre-design,Digital Film Center Construction,,true
,QC070-018,(Pre-Design),pre-design,Psychology and Digital Photography Labs,,true
,QC074-019,(Pre-Design),pre-design,Biology Core Facility Upgrade,,true
,QC075-020,(Pre-Design),pre-design,Colden Auditorium Renovation and Upgrades,,true
,QC076-020,(Pre-Design),pre-design,Air Pollution Laboratory-Commoner Center,,true
,QC078-020,(Pre-Design),pre-design,Construction of a Student Engagement and learning Ctr.,,true
,QC079-020,(Equipment),equipment,Louis Armstrong House - Theater Lighting and Sound Systems,,true
,SAND-KG02,(Pending),pending,HVAC Repair/Replacement - Sandy Related,,true
,SAND-KG03,(Completed),completed,Marina Reconstruction Kingsborough CC - Brooklyn,,false
,SAND-MC01,(Pre-Design),pre-design,Rehabilitation and Improvements due to Hurricane Sandy,,true
,SEED-YC27,(Pending),pending,JPN:Upgrade York College campus grounds,,true
,SJ002-025,(Pending),pending,School of Journalism - Server Upgrades,,true
,ST001-021,(Pre-Design),pre-design,Science Lecture Room,,true
,ST001-023,(Pre-Design),pre-design,New Stem Lab,,true
,ST001-025,(Pending),pending,CSI - Upgrade to CSI Security and Signage System,,true
,ST002-024,(Pre-Design),pre-design,Athlectic Lighting and Locker Room Improvements,,true
,ST039-019,(Pending),pending,Maker Space Lab,,true
,ST041-020,(Pre-Design),pre-design,Room Conversion for the Genomic Research Center,,true
,YC001-010,(Pre-Design),pre-design,YORK COLLEGE - DISABLED ACCESS UPGRADE,,true
,YC001-021,(Pre-Design),pre-design,Track & Field Renovations,,true
,YC001-022,(Pre-Design),pre-design,Track and Field Renovation,,true
,YC001-026,(Pending),pending,RENOVATE ACADEMIC CORE BUILDING UNION HALL PLAZA,,true
,YC002-024,(Pre-Design),pre-design,Science Building Lecture Hall Renovations,,true
,YC002-025,(Pending),pending,YORK COLLEGE - ACB 3H10C NEW LEARNING RESOURCE LAB,,true
,YC008-022,(Pre-Design),pre-design,Track & Field  Facility Upgrades,,true
,YC022-007,(Pre-Design),pre-design,Financial Aid Office Renovation,,true
,YC027-008,(Pre-Design),pre-design,"EXTERIOR BEAUTIFICATION, YORK COLLEGE",,true
,YC028-008,(Equipment),equipment,IMPROVEMENTS TO THE PERFORMING ARTS CENTER,,true
,YC049-014,(Equipment),equipment,Renovate/Build 3D Graphics and Printing Lab,,true
,YC051-015,(Pre-Design),pre-design,Performing Arts Center Renovations,,true
,YC054-017,(Pre-Design),pre-design,Greenhouse Renovation,,true
,YC055-017,(Pre-Design),pre-design,Digital Convergence Center,,true
,YC059-019,(Pending),pending,Renovation to Track,,true
,YC061-020,(Completed),completed,Performing Arts Center Upgrades,,false
,YC062-020,(Pending),pending,York College Fiber Upgrade,,true
,YC063-020,(Pre-Design),pre-design,Recapture Academic Space,,true
74,CA202HS04,Close-out,close-out,HTSCC-ADA Work,,true
78,MC024-008,Design,design,BMCC - Upgrades to Theatres,2027-07-01T00:00:00.000,true
79,CA019HS01,Construction,construction,HTSCC 450 GC FA Upgrade,2026-10-01T00:00:00.000,true
80,BX031-009,Construction,construction,BRXCC - Campus Wide Fire Alarm,2025-12-30T00:00:00.000,true
80,CA054BX18,Construction,construction,BRXCC - Campus Wide Fire Alarm,2025-12-30T00:00:00.000,true
83,CA091LG19,Construction,construction,LGCC - Schenker M Bldg,2026-01-01T00:00:00.000,true
84,HS054-017,Close-out,close-out,Eugenio Maria De Hostos Com. College - 425 GC ASAP Program,2023-09-08T00:00:00.000,true
85,CA022BX01,Construction,construction,BRXCC - HVAC Upgrades - CUNY,2025-12-31T00:00:00.000,true
4459,CA200BX21,Construction,construction,BRXCC - Boiler Plant Upgrade,2026-12-26T00:00:00.000,true
4460,YC002-023,Design,design,York-Tennis Crt&Field Hse Rstrm.Upg,2028-12-30T00:00:00.000,true
4462,CA034QB13,Construction,construction,QNBCC-Ph II Fire Alarm,2026-10-29T00:00:00.000,true
4768,CA091QB25,Construction,construction,QNBCC-LL97 Fan System Upgrade,2026-08-04T00:00:00.000,true
4769,KG045-020,Design,design,KGBCC-Performing Arts Renovati,2027-01-01T00:00:00.000,true
4770,CC001-022,Construction Procurement,construction procurement,CCNY- Student Accessibility,2026-12-01T00:00:00.000,true
4771,GU001-012,Close-out,close-out,Guttman CC - AV/IT Equipment,2027-03-08T00:00:00.000,true
,29202604,(Pre-Design),pre-design,Kings County Hospital- Lighting Upgrade,,true
,34202601,(Pre-Design),pre-design,Queens Hospital BMS Upgrade,,true
,52CHAMELV,(Inactive),inactive,52 Chambers Elevator Modernization,,true
,ACEDCA214,(Partner-managed),partner-managed,DCLA - Met Museum - HVAC and Envelope Improvements to Renov,,true
,ACEDCA222,(Partner-managed),partner-managed,"DCLA - BRONX ZOO ADMIN WEST AHU - 2300 SOUTHERN BLVD, BX",,true
,ACEDCA501,(Partner-managed),partner-managed,AMNH 2 Chillers & Cooling Tower Upgrade,,true
,ACEDEP211,(Partner-managed),partner-managed,DEP - Modifications at East Delaware Tunnel - Neversink,,true
,ACEDEP213,(Partner-managed),partner-managed,DEP - Membrane Style Gasholder at Newtown Creek WRRF,,true
,ACEDPR704,(Pending),pending,DPR - BMS (Building Management System) INSTALLATION,,true
,ACEFIT211,(Partner-managed),partner-managed,FIT - Replacement of Air Handling Units with higher efficien,,true
