vendor_id,canonical_name,alias_count,aliases
V0045,Brooklyn Bridge Park Corporation,2,Brooklyn Bridge Park Corporation | Brooklyn Bridge Park
V0046,BBH Blue Stone Restoration,1,BBH Blue Stone Restoration
V0047,Heckscher Playground,1,Heckscher Playground
V0048,McGolrick Playground,1,McGolrick Playground
V0049,BROWER PARK,1,BROWER PARK
V0050,Maimonides Medical Center,1,Maimonides Medical Center
V0051,START Treatment & Recovery Centers,1,START Treatment & Recovery Centers
V0052,Coney Island Hospital,1,Coney Island Hospital
V0053,DOT BQE Decking,1,DOT BQE Decking
V0054,NYC DOT,1,NYC DOT
V0055,New York Aquarium,1,New York Aquarium
V0056,"ISSUE Project Room, Inc.",2,"ISSUE Project Room, Inc. | Issue Project Room"
V0057,The Brooklyn Historical Society,2,The Brooklyn Historical Society | Brooklyn Historical Society
V0058,"Dancewave, Inc.",1,"Dancewave, Inc."
V0059,STREB Inc.,1,STREB Inc.
V0060,Museum of Contemporary African Diasporan Arts,1,Museum of Contemporary African Diasporan Arts
V0061,Eyebeam Atelier,1,Eyebeam Atelier
V0062,"Proteus Gowanus Interdisciplinary Gallery, Inc.",1,"Proteus Gowanus Interdisciplinary Gallery, Inc."
V0063,Brooklyn Public Library - Ulmer Park Branch,1,Brooklyn Public Library - Ulmer Park Branch
V0064,Weeksville Heritage Center,1,Weeksville Heritage Center
V0065,Brooklyn Arts Council,1,Brooklyn Arts Council
V0066,Opportunities for a Better Tomorrow,1,Opportunities for a Better Tomorrow
V0067,Agudath Israel of America Community Services,1,Agudath Israel of America Community Services
V0068,"Common Ground Communities, Inc. d/b/a Community Solutions",1,"Common Ground Communities, Inc. d/b/a Community Solutions"
V0069,School Settlement Association,1,School Settlement Association
V0070,Green-Wood Historic Fund,1,Green-Wood Historic Fund
V0071,Brooklyn Borough Hall,1,Brooklyn Borough Hall
V0072,Brooklyn Legal Services Corp. A,1,Brooklyn Legal Services Corp. A
V0073,"Brooklyn Bureau of Community Service, d/b/a Brooklyn Community Services",1,"Brooklyn Bureau of Community Service, d/b/a Brooklyn Community Services"
V0074,"Ohel Children's Home and Family Services, Inc.",2,"Ohel Children's Home and Family Services, Inc. | Ohel Children's Home and Family Services"
V0075,Medgar Evers College,1,Medgar Evers College
V0076,Kingsborough Community College,1,Kingsborough Community College
V0077,Brooklyn Navy Yard Development Corporation,1,Brooklyn Navy Yard Development Corporation
V0078,New Lab at Brooklyn Navy Yard,1,New Lab at Brooklyn Navy Yard
V0079,Brooklyn Cruise Terminal,1,Brooklyn Cruise Terminal
V0080,Bed-Stuy Campaign Against Hunger,1,Bed-Stuy Campaign Against Hunger
V0081,"Caribbean American Chamber of Commerce and Industry, Inc. (CACCI)",1,"Caribbean American Chamber of Commerce and Industry, Inc. (CACCI)"
V0082,Mott Hall Intermediate School,1,Mott Hall Intermediate School
V0083,Abraham Lincoln HS,1,Abraham Lincoln HS
V0084,Boys and Girls High School,1,Boys and Girls High School
V0085,Brooklyn Urban Garden Charter School (BUGS),1,Brooklyn Urban Garden Charter School (BUGS)
V0086,Cultural Academy for the Arts and Sciences,2,Cultural Academy for the Arts and Sciences | Cultural Academy for the Arts & Sciences
V0087,The High School for Global Citizenship at Prospect Heights Campus,1,The High School for Global Citizenship at Prospect Heights Campus
V0088,The HS of Sports Management,1,The HS of Sports Management
V0089,Intermediate School 96,1,Intermediate School 96
V0090,International Arts Business School,1,International Arts Business School
V0091,IS 201 Dyker Heights Intermediate School,1,IS 201 Dyker Heights Intermediate School
V0092,I.S. 211 John Wilson,1,I.S. 211 John Wilson
V0093,IS349,1,IS349
V0094,Philippa Schuyler,1,Philippa Schuyler
V0095,IS 392,1,IS 392
V0096,J.H.S. 050 John D. Wells & Success Academy Williamsburg,1,J.H.S. 050 John D. Wells & Success Academy Williamsburg
V0097,J.H.S. 234 Arthur W. Cunningham,1,J.H.S. 234 Arthur W. Cunningham
V0098,J.H.S. 292 Margaret S. Douglas,1,J.H.S. 292 Margaret S. Douglas
V0099,Rachel Carson High School 21k345,1,Rachel Carson High School 21k345
V0100,32K377,1,32K377
V0101,32k403 Academy for Environmental Leadership & 32k552 Academy of Urban Planning,1,32k403 Academy for Environmental Leadership & 32k552 Academy of Urban Planning
V0102,19K409 - East New York Family Academy,1,19K409 - East New York Family Academy
V0103,13K419 Science Skills Center High School,1,13K419 Science Skills Center High School
V0104,The Brooklyn International High School (13K439),1,The Brooklyn International High School (13K439)
V0105,15K448 Brooklyn School for Collaborative Studies,1,15K448 Brooklyn School for Collaborative Studies
V0106,KAPPA V (23K518),1,KAPPA V (23K518)
V0107,17K539 HS for Service and Learning,1,17K539 HS for Service and Learning
V0108,K 583 Multicultural High School,1,K 583 Multicultural High School
V0109,William E. Grady HS (21K620),1,William E. Grady HS (21K620)
V0110,K633 High School for Medical Professions,1,K633 High School for Medical Professions
V0111,K639 Brooklyn Lab School,1,K639 Brooklyn Lab School
V0112,K643 Brooklyn Democracy Academy,1,K643 Brooklyn Democracy Academy
V0113,"Highland Park Community School, 19K761",1,"Highland Park Community School, 19K761"
V0114,Kurt Hahn Expeditionary Learning School,1,Kurt Hahn Expeditionary Learning School
V0115,Stephen Decatur Middle School 36,1,Stephen Decatur Middle School 36
V0116,M.S. 443-New Voices Middle School of Academics & Creative Arts,1,M.S. 443-New Voices Middle School of Academics & Creative Arts
V0117,Dr. Gladstone H. Atwell M.S. 62,1,Dr. Gladstone H. Atwell M.S. 62
V0118,Middle School 763 - Brooklyn Science and Engineering Academy,2,Middle School 763 - Brooklyn Science and Engineering Academy | Middle School 763- Brooklyn Science and Engineering Academy
V0119,New York WEB Center (NYWC),1,New York WEB Center (NYWC)
V0120,Passages Academy--Belmont,1,Passages Academy--Belmont
V0121,Progress High School,1,Progress High School
V0122,P.S. 040 George W. Carver,2,P.S. 040 George W. Carver | P.S. 040 GEORGE W. CARVER
V0123,PS 110 The Monitor School,1,PS 110 The Monitor School
V0124,Public School 123 -The Suydam School,1,Public School 123 -The Suydam School
V0125,Public School 132K - The Conselyea School,1,Public School 132K - The Conselyea School
V0126,Public School 147 - Isaac Remsen School,1,Public School 147 - Isaac Remsen School
V0127,PS 151K Lyndon Baines Johnson Elementary School,1,PS 151K Lyndon Baines Johnson Elementary School
V0128,P.S. 193 - The Gil Hodges School,1,P.S. 193 - The Gil Hodges School
V0129,Public School 21,1,Public School 21
V0130,P.S. 023 Carter G. Woodson,2,P.S. 023 Carter G. Woodson | P.S. 023 CARTER G. WOODSON
V0131,P.S. 247,1,P.S. 247
V0132,PS 249 The Caton School,1,PS 249 The Caton School
V0133,Public School 256,1,Public School 256
V0134,P.S 26 Jesse Owens School,1,P.S 26 Jesse Owens School
V0135,Public School 270 - Johann DeKalb School,1,Public School 270 - Johann DeKalb School
V0136,P.S. 279 Herman Schreiber School,1,P.S. 279 Herman Schreiber School
V0137,PS 29-John M. Harrigan Elementary School,1,PS 29-John M. Harrigan Elementary School
V0138,PS295,1,PS295
V0139,PS 297 The Richard Stockton School,1,PS 297 The Richard Stockton School
V0140,Public School 300,1,Public School 300
V0141,Ethan Allen School PS 307,1,Ethan Allen School PS 307
V0142,PS 307,1,PS 307
V0143,PS 316 - Elijah G. Stroud,1,PS 316 - Elijah G. Stroud
V0144,P.S. 321 William Penn,2,P.S. 321 William Penn | P.S. 321 WILLIAM PENN
V0145,PS/IS 323,1,PS/IS 323
V0146,P.S. 335 Granville T. Woods,2,P.S. 335 Granville T. Woods | P.S. 335 GRANVILLE T. WOODS
V0147,Public School 373 - Brooklyn Transition Center,1,Public School 373 - Brooklyn Transition Center
V0148,PS376,1,PS376
V0149,PS 38,1,PS 38
V0150,Public School 44,2,Public School 44 | PUBLIC SCHOOL 44
V0151,"P53K @ SPRING CREEK, DISTRICT 75",1,"P53K @ SPRING CREEK, DISTRICT 75"
V0152,Public School 551 - Urban Assembly New York Harbor School,1,Public School 551 - Urban Assembly New York Harbor School
V0153,PS 75-Mayda Cotriella,1,PS 75-Mayda Cotriella
V0154,P77K,1,P77K
V0155,"PS 770, The New American Academy",3,"PS 770, The New American Academy | PS 770 The New American Academy | PS 770-The New American Academy"
V0156,Public School 92 - Adrian Hegeman,1,Public School 92 - Adrian Hegeman
V0157,P.S./I.S. 45K,1,P.S./I.S. 45K
V0158,PS/IS 686 Brooklyn School of Inquiry,1,PS/IS 686 Brooklyn School of Inquiry
V0159,"PS/MS 282, The Park Slope School",1,"PS/MS 282, The Park Slope School"
V0160,Ronald Edmonds Learning Center II,1,Ronald Edmonds Learning Center II
V0161,School for Democracy and Leadership,1,School for Democracy and Leadership
V0162,Sunset Park High School (15K667),1,Sunset Park High School (15K667)
V0163,Central Brooklyn Ascend Charter School,1,Central Brooklyn Ascend Charter School
V0164,17K745 Brooklyn Institute for Liberal Arts High School,1,17K745 Brooklyn Institute for Liberal Arts High School
V0165,17K537- The High School for Youth and Community Development,1,17K537- The High School for Youth and Community Development
V0166,Public School 31-Samuel F. Dupont,1,Public School 31-Samuel F. Dupont
V0167,PS241 Emma Johnson School,1,PS241 Emma Johnson School
V0168,PS 10 - Magnet School Of Math Science & Design Tech,1,PS 10 - Magnet School Of Math Science & Design Tech
V0169,Midwood High School (22K405),2,Midwood High School (22K405) | Midwood High School 22K405
V0170,New York University,1,New York University
V0171,"Howard Houses Tenants Council, Inc",1,"Howard Houses Tenants Council, Inc"
V0172,Surf gardens development,1,Surf gardens development
V0173,"Fifth Avenue Committee, Inc. (FAC)",1,"Fifth Avenue Committee, Inc. (FAC)"
V0174,Crown Gardens Housing Corporation,2,Crown Gardens Housing Corporation | Crown Gardens Housing Corp.
V0175,Cypress Hills Local Development Corporation,1,Cypress Hills Local Development Corporation
V0176,Contello Towers No 2,1,Contello Towers No 2
V0177,Local Development Corporation of East New York,1,Local Development Corporation of East New York
V0178,NYCHA MARLBOROUGH HOUSES,1,NYCHA MARLBOROUGH HOUSES
V0179,MHANY Management INC,1,MHANY Management INC
V0180,Highlawn Terrace,1,Highlawn Terrace
V0181,"DPR -  Alliance for Coney Island, Inc.",1,"DPR -  Alliance for Coney Island, Inc."
V0182,DPR -  Bildersee Playground,1,DPR -  Bildersee Playground
V0183,"DPR -  Cadman Park Conservancy, Inc.",2,"DPR -  Cadman Park Conservancy, Inc. | DPR - Cadman Park Conservancy, Inc."
V0184,DPR -  Cypress Hills Playground,1,DPR -  Cypress Hills Playground
V0185,DPR -  Fort Greene Park,1,DPR -  Fort Greene Park
V0186,DPR -  20/K490 Fort Hamilton High School,1,DPR -  20/K490 Fort Hamilton High School
V0187,"DPR -  Grand Street District Management Association, Inc.",2,"DPR -  Grand Street District Management Association, Inc. | DPR - Grand Street District Management Association, Inc."
V0188,DPR -  Msgr. McGolrick Park,1,DPR -  Msgr. McGolrick Park
V0189,DPR -  Prospect Park Alliance,2,DPR -  Prospect Park Alliance | DPR - Prospect Park Alliance
V0190,DPR -  Prospect Park Zoo - Wildlife Conservation Society,1,DPR -  Prospect Park Zoo - Wildlife Conservation Society
V0191,DPR - St. Mary's Playground,1,DPR - St. Mary's Playground
V0192,DPR - Ennis Playground,1,DPR - Ennis Playground
V0193,DPR - BROOKLYN STRAND PROJECT,1,DPR - BROOKLYN STRAND PROJECT
V0194,DPR - BENCHES ON PATH AT SUNSET PARK,1,DPR - BENCHES ON PATH AT SUNSET PARK
V0195,DPR - Butterfly Gardens,1,DPR - Butterfly Gardens
V0196,DPR - Kolbert Park,1,DPR - Kolbert Park
V0197,DPR - Friend's Field,1,DPR - Friend's Field
V0198,DPR - MOFFAT STREET PARK,1,DPR - MOFFAT STREET PARK
V0199,"DPR - Brooklyn Greenway Initiative, Inc.",1,"DPR - Brooklyn Greenway Initiative, Inc."
V0200,DPR - McGlorick Park,1,DPR - McGlorick Park
V0201,DPR - Fort Hamilton,1,DPR - Fort Hamilton
V0202,Animal Care & Control of NYC,1,Animal Care & Control of NYC
V0203,"New York Blood Center, Inc.",2,"New York Blood Center, Inc. | New York Blood Center"
V0204,Kingsbrook Jewish Medical Center,1,Kingsbrook Jewish Medical Center
V0205,"The Family Center, Inc.",1,"The Family Center, Inc."
V0206,HHC/Woodhull Medical and Mental Health Center,1,HHC/Woodhull Medical and Mental Health Center
V0207,The Brookdale Hospital Medical Center,1,The Brookdale Hospital Medical Center
V0208,Institute for Community Living Inc,2,Institute for Community Living Inc | INSTITUTE FOR COMMUNITY LIVING
V0209,"COMMUNITY HEALTHCARE NETWORK, INC",2,"COMMUNITY HEALTHCARE NETWORK, INC | Community Healthcare Network Inc."
V0210,"SUNY Downstate Medical Center / Downstate Technology Center, Inc.",1,"SUNY Downstate Medical Center / Downstate Technology Center, Inc."
V0211,FDNY Foundation,1,FDNY Foundation
V0212,"Atlantic Avenue District Management Association, Inc.",1,"Atlantic Avenue District Management Association, Inc."
V0213,DOT,1,DOT
V0214,Brooklyn Public Library - Bookmobile,1,Brooklyn Public Library - Bookmobile
V0215,WCS- New York Aquarium,1,WCS- New York Aquarium
V0216,Bedford Stuyvesant Restoration Corporation,2,Bedford Stuyvesant Restoration Corporation | Bedford Stuyvesant Restoration Corp.
V0217,"BRIC Arts | Media | Bklyn, Inc.",1,"BRIC Arts | Media | Bklyn, Inc."
V0218,"Discalced, Inc. (dba Mark Morris Dance Group)",1,"Discalced, Inc. (dba Mark Morris Dance Group)"
V0219,Theatre for a New Audience,1,Theatre for a New Audience
V0220,Society for the Preservation of Weeksville and Bedford Stuyvesant History,1,Society for the Preservation of Weeksville and Bedford Stuyvesant History
V0221,International Studio & Curatorial Program,1,International Studio & Curatorial Program
V0222,"Rooftop Films, Inc.",1,"Rooftop Films, Inc."
V0223,Original Music Workshop (dba National Sawdust),1,Original Music Workshop (dba National Sawdust)
V0224,"Spoke the Hub Dancing, Inc.",1,"Spoke the Hub Dancing, Inc."
V0225,Brooklyn Conservatory of Music,1,Brooklyn Conservatory of Music
V0226,Good Shepherd Services,1,Good Shepherd Services
V0227,Brooklyn Bureau of Community Service,1,Brooklyn Bureau of Community Service
V0228,Per Scholas,1,Per Scholas
V0229,Sephardic Community Center,1,Sephardic Community Center
V0230,Red Hook Initiative,1,Red Hook Initiative
V0231,JCC of Marine Park/DBA NY United Jewish Ass.,1,JCC of Marine Park/DBA NY United Jewish Ass.
V0232,"Federation of Italian-American Organizations of Brooklyn, Ltd.",1,"Federation of Italian-American Organizations of Brooklyn, Ltd."
V0233,"Sunset Park District Management Association, Inc",1,"Sunset Park District Management Association, Inc"
V0234,Moore Street Market,1,Moore Street Market
V0235,FLATBUSH CATON DEVELOPMENT PROJECT,1,FLATBUSH CATON DEVELOPMENT PROJECT
V0236,"BioBAT, Inc.",1,"BioBAT, Inc."
V0237,"14K478-High School for Enterprise, Business and Technology",1,"14K478-High School for Enterprise, Business and Technology"
V0238,18K589 - Arts & Media Preparatory Academy,1,18K589 - Arts & Media Preparatory Academy
V0239,19K618 - The Academy of Innovative Technology,1,19K618 - The Academy of Innovative Technology
V0240,20K505 – Franklin Delano Roosevelt High School,1,20K505 – Franklin Delano Roosevelt High School
V0241,21K525 - Edward R. Murrow H.S.,1,21K525 - Edward R. Murrow H.S.
V0242,22K405 Midwood High School,1,22K405 Midwood High School
V0243,22K425- James Madison High School,1,22K425- James Madison High School
V0244,22K611 - Origins High School,1,22K611 - Origins High School
V0245,Abraham Lincoln High School,2,Abraham Lincoln High School | ABRAHAM LINCOLN HIGH SCHOOL
V0246,Academy of Arts & Letters,1,Academy of Arts & Letters
V0247,BEDFORD ACADEMY HIGH SCHOOL,2,BEDFORD ACADEMY HIGH SCHOOL | Bedford Academy High School
V0248,Beginning with Children Charter School 2 (K037),2,Beginning with Children Charter School 2 (K037) | Beginning with Children Charter School 2 K037
V0249,Brooklyn Studio Secondary School,1,Brooklyn Studio Secondary School
V0250,Carroll Gardens School for Innovation (MS442),1,Carroll Gardens School for Innovation (MS442)
V0251,City Polytechnic High School,1,City Polytechnic High School
V0252,Clara Barton High School,1,Clara Barton High School
V0253,Community Partnership Charter School K702,1,Community Partnership Charter School K702
V0254,Community Partnership Charter School,1,Community Partnership Charter School
V0255,Cunningham Junior High School IS 234,1,Cunningham Junior High School IS 234
V0256,District 20 Early Childhood Centers (20K768),1,District 20 Early Childhood Centers (20K768)
V0257,Dr. Gladstone H. Atwell M.S. 61,1,Dr. Gladstone H. Atwell M.S. 61
V0258,Edward R. Murrow High School,1,Edward R. Murrow High School
V0259,Elsa Ebeling- Public School 208,1,Elsa Ebeling- Public School 208
V0260,Gateway Intermediate School I.S. 364,1,Gateway Intermediate School I.S. 364
V0261,I.S. 259K -William McKinley,1,I.S. 259K -William McKinley
V0262,IS 96 Seth Low,1,IS 96 Seth Low
V0263,Intermediate School 187 - The Christa McAuliffe School,1,Intermediate School 187 - The Christa McAuliffe School
V0264,Intermediate School 288 - David A. Body,1,Intermediate School 288 - David A. Body
V0265,Intermediate School 318,1,Intermediate School 318
V0266,Invictus Preparatory Charter School (Located within IS 218),1,Invictus Preparatory Charter School (Located within IS 218)
V0267,IS 136 Charles O Dewey Middle School,1,IS 136 Charles O Dewey Middle School
V0268,IS 228 - David A. Body School of Magnet Studies,1,IS 228 - David A. Body School of Magnet Studies
V0269,"It Takes A Village Academy, 18K563",1,"It Takes A Village Academy, 18K563"
V0270,John Wilson Intermediate School 211,1,John Wilson Intermediate School 211
V0271,Joseph B. Cavallaro I.S. 281,1,Joseph B. Cavallaro I.S. 281
V0272,"K811, The Connie Lekas School",1,"K811, The Connie Lekas School"
V0273,KAPPA V,1,KAPPA V
V0274,"Leaders High School, 21K572",2,"Leaders High School, 21K572 | Leaders High School 21K572"
V0275,Marine Park Intermediate School 278,1,Marine Park Intermediate School 278
V0276,Mark Twain IS 239,1,Mark Twain IS 239
V0277,MIDDLE SCHOOL 113 - RONALD EDMONDS LEARNING CENTER,1,MIDDLE SCHOOL 113 - RONALD EDMONDS LEARNING CENTER
V0278,Middle School 577,1,Middle School 577
V0279,Middle School 88,1,Middle School 88
V0280,Monitor School -- 14K110,1,Monitor School -- 14K110
V0281,MS 447 - The Math and Science Exploratory School,1,MS 447 - The Math and Science Exploratory School
V0282,MS 484 Ronald Edmonds Learning Center II,1,MS 484 Ronald Edmonds Learning Center II
V0283,MS582-The Upper Academy,1,MS582-The Upper Academy
V0284,Nelson Mandela High School for Social Justice,1,Nelson Mandela High School for Social Justice
V0285,P. S. 146 The Brooklyn New School,1,P. S. 146 The Brooklyn New School
V0286,"P.S. 10, Magnet School of Math, Science and Design Technology",1,"P.S. 10, Magnet School of Math, Science and Design Technology"
V0287,P.S. 12 - Dr. Jacqueline Peek Davis Elementary School,1,P.S. 12 - Dr. Jacqueline Peek Davis Elementary School
V0288,P.S. 188 Michael E. Berdy,1,P.S. 188 Michael E. Berdy
V0289,"P.S. 274, Kosciusko",3,"P.S. 274, Kosciusko | P.S. 274 Kosciusko | P.S. 274 KOSCIUSKO"
V0290,P.S. 289K George V. Brower,1,P.S. 289K George V. Brower
V0291,K594-Gotham Professional Arts Academy/P.S. 40K,1,K594-Gotham Professional Arts Academy/P.S. 40K
V0292,P.S. 506 The School of Journalism & Technology,1,P.S. 506 The School of Journalism & Technology
V0293,P.S. 599 K Brooklyn Landmark Elementary School,1,P.S. 599 K Brooklyn Landmark Elementary School
V0294,P.S. 748 The Brooklyn School for Global Scholars,1,P.S. 748 The Brooklyn School for Global Scholars
V0295,P.S./I.S. 104,1,P.S./I.S. 104
V0296,P.S./I.S. 184K The Newport Street School,1,P.S./I.S. 184K The Newport Street School
V0297,P.S.229,1,P.S.229
V0298,P53K District 75,1,P53K District 75
V0299,P753K- Brooklyn School for Career Development,1,P753K- Brooklyn School for Career Development
V0300,Park Slope 282 (PS/MS 282),1,Park Slope 282 (PS/MS 282)
V0301,PASSAGES ACADEMY,1,PASSAGES ACADEMY
V0302,Prospect Heights Campus Library - 17K528 - High School for Global Citizenship,1,Prospect Heights Campus Library - 17K528 - High School for Global Citizenship
V0303,PS 145 - The Andrew Jackson Elementary School,1,PS 145 - The Andrew Jackson Elementary School
V0304,PS 150 The Christopher School,1,PS 150 The Christopher School
V0305,PS 181 - John Steptoe School,1,PS 181 - John Steptoe School
V0306,PS 189K The Bilingual Center,1,PS 189K The Bilingual Center
V0307,PS 193 Gil Hodges School,1,PS 193 Gil Hodges School
V0308,PS 203 Floyd Bennett School,1,PS 203 Floyd Bennett School
V0309,PS 251 The Paerdegat School,1,PS 251 The Paerdegat School
V0310,PS 264 - Bay Ridge Elementary School for the Arts,1,PS 264 - Bay Ridge Elementary School for the Arts
V0311,PS 297,1,PS 297
V0312,PS 372 - The Children's School,2,PS 372 - The Children's School | PS 372 The Children's School
V0313,PS 376,1,PS 376
V0314,PS 398K- The Walter Weaver School,1,PS 398K- The Walter Weaver School
V0315,PS 69 Vincent D. Grippo School,1,PS 69 Vincent D. Grippo School
V0316,PS/IS 192 The Magnet School for Math and Science Inquiry,1,PS/IS 192 The Magnet School for Math and Science Inquiry
V0317,PS/IS 206,1,PS/IS 206
V0318,PS/IS 41,1,PS/IS 41
V0319,PS/IS 66K,1,PS/IS 66K
V0320,PS007K Abraham Lincoln School,1,PS007K Abraham Lincoln School
V0321,Public School - IS98 the Bay Academy for the Arts & Sciences,1,Public School - IS98 the Bay Academy for the Arts & Sciences
V0322,Public School - The Eubie Blake School,1,Public School - The Eubie Blake School
V0323,Public School 105 - The Blythebourne,1,Public School 105 - The Blythebourne
V0324,Public School 11 - Purvis Behan School,1,Public School 11 - Purvis Behan School
V0325,Public School 133 - William A. Butler,1,Public School 133 - William A. Butler
V0326,Public School 138K,1,Public School 138K
V0327,Public School 139K,1,Public School 139K
V0328,Public School 147 - Isaac Remsen,1,Public School 147 - Isaac Remsen
V0329,Public School 152- School of Science and Technology,1,Public School 152- School of Science and Technology
V0330,Public School 157-K,1,Public School 157-K
V0331,Public School 158K - Warwick,1,Public School 158K - Warwick
V0332,Public School 18 Edward Bush,1,Public School 18 Edward Bush
V0333,Public School 180 - The SEEALL Academy,1,Public School 180 - The SEEALL Academy
V0334,Public School 195- The Manhattan Beach School,1,Public School 195- The Manhattan Beach School
V0335,Public School 216 Arturo Toscanini,1,Public School 216 Arturo Toscanini
V0336,Public School 23,1,Public School 23
V0337,Public School 235 The Janice Marie Knight School,1,Public School 235 The Janice Marie Knight School
V0338,"Public School 243K, The Weeksville School",1,"Public School 243K, The Weeksville School"
V0339,Public School 254 The Dag Hammarskjold School,1,Public School 254 The Dag Hammarskjold School
V0340,Public School 257 John F. Hylan,1,Public School 257 John F. Hylan
V0341,Public School 269 - The Nostrand School,1,Public School 269 - The Nostrand School
V0342,Public School 273-The Wortman School,1,Public School 273-The Wortman School
V0343,Public School 276 Louis Marshall District 18,1,Public School 276 Louis Marshall District 18
V0344,Public School 287 13K287,1,Public School 287 13K287
V0345,Public School 290,1,Public School 290
V0346,Public School 305,1,Public School 305
V0347,Public School 316 Elijah G. Stroud Elementary School,1,Public School 316 Elijah G. Stroud Elementary School
V0348,Public School 325-Fresh Creek School,1,Public School 325-Fresh Creek School
V0349,Public School 380,1,Public School 380
V0350,"Public School 54 The Magnet School for Environmental Science, Technology and Community Wellness.",1,"Public School 54 The Magnet School for Environmental Science, Technology and Community Wellness."
V0351,Public School 59- William Floyd,2,Public School 59- William Floyd | Public School 59 William Floyd
V0352,Public School 599- Brooklyn landmark Elementary School,1,Public School 599- Brooklyn landmark Elementary School
V0353,Public School 705 - Brooklyn Arts and Science Elementary School (BASES),1,Public School 705 - Brooklyn Arts and Science Elementary School (BASES)
V0354,Public School 84 Jose de Diego,1,Public School 84 Jose de Diego
V0355,Public School 9 - Teunis G. Bergen Elementary School,1,Public School 9 - Teunis G. Bergen Elementary School
V0356,Public School 95 The Gravesend School,1,Public School 95 The Gravesend School
V0357,Public School 97 - The Highlawn,1,Public School 97 - The Highlawn
V0358,Public School K566 - Brooklyn Generation,1,Public School K566 - Brooklyn Generation
V0359,Rachel Carson High School,1,Rachel Carson High School
V0360,Science Skills Center High School,1,Science Skills Center High School
V0361,Shell Bank I.S 14,1,Shell Bank I.S 14
V0362,South Brooklyn Community High School,1,South Brooklyn Community High School
V0363,Teachers Preparatory School (23k697),1,Teachers Preparatory School (23k697)
V0364,The Brooklyn School for Global Studies 15K429,1,The Brooklyn School for Global Studies 15K429
