invoice_id,po_id,vendor_id,vendor_name,amount,period,status,submitted_at,doc_uri,missing_field,label_is_duplicate,label_dead_job
INV-00032,SANDRESM1,V0247,BEDFORD ACADEMY HIGH SCHOOL,75372468.65,202605,paid,2026-05-14,docs/invoices/INV-00032.pdf,none,false,false
INV-00033,PWX78BXP,V0118,Middle School 763- Brooklyn Science and Engineering Academy,6447.01,202605,paid,2026-05-23,docs/invoices/INV-00033.pdf,amount,false,false
INV-00034,37202102,V0171,"Howard Houses Tenants Council, Inc",314948.83,202605,denied,2026-05-02,docs/invoices/INV-00034.pdf,none,false,false
INV-00035,F175EMS17,V0276,Mark Twain IS 239,2895001.82,202605,denied,2026-05-16,docs/invoices/INV-00035.pdf,none,false,false
INV-00036,LBC21MNRF,V0443,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,724133.21,202605,paid,2026-05-06,docs/invoices/INV-00036.pdf,none,false,false
INV-00037,P-6PKTR23,V0074,"Ohel Children's Home and Family Services, Inc.",170.84,202605,pending,2026-05-03,docs/invoices/INV-00037.pdf,none,false,true
INV-00038,P-413LPCT,V0183,"DPR -  Cadman Park Conservancy, Inc.",175231.65,202605,paid,2026-05-23,docs/invoices/INV-00038.pdf,none,false,false
INV-00039,SER200103,V0045,Brooklyn Bridge Park Corporation,90054.33,202605,pending,2026-05-12,docs/invoices/INV-00039.pdf,none,false,true
INV-00040,PW19325A,V0471,Middle School 681 - Madiba Prep Middle School,2848268.01,202605,denied,2026-05-12,docs/invoices/INV-00040.pdf,none,false,false
INV-00041,27202401,V0472,Middle School 722 New Heights Middle School,19007.29,202605,denied,2026-05-16,docs/invoices/INV-00041.pdf,none,false,false
INV-00042,P-5TRE24A,V0118,Middle School 763- Brooklyn Science and Engineering Academy,357460.42,202605,paid,2026-05-23,docs/invoices/INV-00042.pdf,none,false,false
INV-00043,HWQ1027,V0021,Public School 249-The Caton School,534589.96,202605,pending,2026-05-23,docs/invoices/INV-00043.pdf,none,false,true
INV-00044,POD106COM,V0256,District 20 Early Childhood Centers (20K768),3794.89,202605,paid,2026-05-06,docs/invoices/INV-00044.pdf,none,false,false
INV-00045,21202101,V0642,P.S./I.S. 137 RACHEL JEAN MITCHELL,27985.38,202605,paid,2026-05-22,docs/invoices/INV-00045.pdf,none,false,false
INV-00046,PW77QPLNT,V0136,P.S. 279 Herman Schreiber School,337124.36,202605,denied,2026-05-26,docs/invoices/INV-00046.pdf,none,false,false
INV-00047,S216-402G,V0009,"Gallim Dance Company, Inc.",301607.9,202605,denied,2026-05-08,docs/invoices/INV-00047.pdf,none,false,false
INV-00048,TF18-LUMP,V0342,Public School 273-The Wortman School,286437.02,202605,denied,2026-05-10,docs/invoices/INV-00048.pdf,none,false,false
INV-00049,NSCC,V0207,The Brookdale Hospital Medical Center,328793.96,202605,paid,2026-05-28,docs/invoices/INV-00049.pdf,none,false,false
INV-00050,75202402,V0002,Wildlife Conservation Society New York Aquarium,11625.27,202605,pending,2026-05-04,docs/invoices/INV-00050.pdf,vendor_name,false,false
INV-00051,NYCFTVM,V0247,Bedford Academy High School,166224.05,202605,paid,2026-05-09,docs/invoices/INV-00051.pdf,none,false,false
INV-00052,HED603,V0065,Brooklyn Arts Council,873137.2,202605,paid,2026-05-09,docs/invoices/INV-00052.pdf,none,false,false
INV-00053,P-3CBHVAC,V0691,P.S. 298 DR. BETTY SHABAZZ,153783.77,202605,pending,2026-05-04,docs/invoices/INV-00053.pdf,none,false,false
INV-00054,LSLRPBX5,V0811,K498 Brooklyn High School For Law And Technology 1396 Broadway,89225.86,202605,paid,2026-05-24,docs/invoices/INV-00054.pdf,none,false,false
INV-00055,CO80ROOF2,V0475,Multicultural High School,681653.04,202605,paid,2026-05-11,docs/invoices/INV-00055.pdf,none,false,true
INV-00056,CO80ROOF2,V0475,MULTICULTURAL HIGH SCHOOL,681653.04,202605,pending,2026-05-13,docs/invoices/INV-00056.pdf,none,true,true
INV-00057,SAND44BVR,V0072,Brooklyn Legal Services Corp. A,413883.15,202605,denied,2026-05-18,docs/invoices/INV-00057.pdf,none,false,false
INV-00058,HWPR24QX,V0877,NYC Health + Hospitals/Kings County,1535505.84,202605,paid,2026-05-13,docs/invoices/INV-00058.pdf,amount,false,false
INV-00059,P-412LBRT,V0074,"Ohel Children's Home and Family Services, Inc.",18162.67,202605,pending,2026-05-04,docs/invoices/INV-00059.pdf,none,false,false
INV-00060,HBM1147,V0143,PS 316 - Elijah G. Stroud,2145099.84,202605,paid,2026-05-05,docs/invoices/INV-00060.pdf,none,false,false
INV-00061,HBQA24718,V0733,LYONS COMMUNITY SCHOOL,3939481.59,202605,denied,2026-05-04,docs/invoices/INV-00061.pdf,none,false,false
INV-00062,HWCSCH98,V0002,Wildlife Conservation Society - New York Aquarium,668981.36,202605,paid,2026-05-21,docs/invoices/INV-00062.pdf,period,false,false
INV-00063,HWCSCH98,V0002,Wildlife Conservation Society New York Aquarium,668981.36,202605,pending,2026-05-17,docs/invoices/INV-00063.pdf,none,true,false
INV-00064,CRO-604,V0208,Institute for Community Living Inc,110553.22,202605,paid,2026-05-28,docs/invoices/INV-00064.pdf,none,false,false
INV-00065,PV302BPH1,V0002,Wildlife Conservation Society - New York Aquarium,189102.33,202605,paid,2026-05-25,docs/invoices/INV-00065.pdf,none,false,false
INV-00066,PV302BPH1,V0002,Wildlife Conservation Society New York Aquarium,189102.33,202605,pending,2026-05-21,docs/invoices/INV-00066.pdf,none,true,false
INV-00067,QB041-011,V0707,I.S. 381,161822.47,202605,paid,2026-05-16,docs/invoices/INV-00067.pdf,none,false,true
INV-00068,P-3HLSNKN,V0751,PS 262 EL HAJJ MALIK EL SHABAZZ,16174.36,202605,pending,2026-05-12,docs/invoices/INV-00068.pdf,none,false,false
INV-00069,PWSTORCCT,V0243,22K425- James Madison High School,35634.12,202605,paid,2026-05-26,docs/invoices/INV-00069.pdf,none,false,false
INV-00070,P-2HOOPER,V0443,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7386.82,202605,paid,2026-05-08,docs/invoices/INV-00070.pdf,none,false,false
INV-00071,ST001-021,V0045,Brooklyn Bridge Park Corporation,15683.79,202605,pending,2026-05-20,docs/invoices/INV-00071.pdf,none,false,false
INV-00072,HED-568,V0494,Pathways In Technology Early College High School (P-TECH),2532600.74,202605,paid,2026-05-15,docs/invoices/INV-00072.pdf,none,false,true
INV-00073,P-3COLUBT,V0125,Public School 132K - The Conselyea School,28998.5,202605,paid,2026-05-20,docs/invoices/INV-00073.pdf,none,false,false
INV-00074,SEQ200613,V0216,Bedford Stuyvesant Restoration Corp.,260288.44,202605,paid,2026-05-26,docs/invoices/INV-00074.pdf,none,false,false
INV-00075,BUSHUTIL,V0045,Brooklyn Bridge Park,1511301.83,202605,paid,2026-05-07,docs/invoices/INV-00075.pdf,none,false,false
INV-00076,25201901,V0656,I.S. 171 ABRAHAM LINCOLN,36050.4,202605,pending,2026-05-22,docs/invoices/INV-00076.pdf,none,false,false
INV-00077,P-308STCP,V0026,23K363 - Brownsville Collaborative Middle School,175461.27,202605,paid,2026-05-17,docs/invoices/INV-00077.pdf,none,false,false
INV-00078,74202601,V0882,DOT - CD 45,2743.01,202605,paid,2026-05-10,docs/invoices/INV-00078.pdf,none,false,false
INV-00079,SE-812,V0741,RED HOOK NEIGHBORHOOD SCHOOL,723366.14,202605,paid,2026-05-13,docs/invoices/INV-00079.pdf,none,false,true
INV-00080,HWK1153,V0746,BROOKLYN INSTITUTE FOR LIBERAL ARTS,308864,202605,pending,2026-05-21,docs/invoices/INV-00080.pdf,po_id,false,true
INV-00081,WATERST,V0056,Issue Project Room,797297.9,202605,denied,2026-05-19,docs/invoices/INV-00081.pdf,none,false,false
INV-00082,CC253B,V0815,K549 The Brooklyn School For Social Justice 400 Irving Avenue,527793.06,202605,paid,2026-05-11,docs/invoices/INV-00082.pdf,none,false,true
INV-00083,HWR705,V0475,MULTICULTURAL HIGH SCHOOL,525760.77,202605,pending,2026-05-08,docs/invoices/INV-00083.pdf,none,false,true
INV-00084,NR-STRUCT,V0465,John Dewey High School,23242036,202605,denied,2026-05-12,docs/invoices/INV-00084.pdf,none,false,false
INV-00085,26202401,V0946,K373-75 The Brooklyn Transition Center,14316.91,202605,pending,2026-05-17,docs/invoices/INV-00085.pdf,po_id,false,false
INV-00086,MC001-025,V0877,NYC Health + Hospitals/ Kings County,11130.85,202605,denied,2026-05-02,docs/invoices/INV-00086.pdf,none,false,false
INV-00087,8THSTREET,V0876,SUNY Health Science Center at Brooklyn,13859.56,202605,paid,2026-05-25,docs/invoices/INV-00087.pdf,period,false,false
INV-00088,P-309MSSC,V0583,DPR - Bildersee,245665.65,202605,denied,2026-05-22,docs/invoices/INV-00088.pdf,none,false,false
INV-00089,QC006-022,V0485,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,56165.23,202605,pending,2026-05-09,docs/invoices/INV-00089.pdf,none,false,false
INV-00090,P-307SOLB,V0567,Marlboro Houses,39939.05,202605,paid,2026-05-19,docs/invoices/INV-00090.pdf,none,false,false
INV-00091,HBRA24939,V0160,Ronald Edmonds Learning Center II,316207.18,202605,paid,2026-05-11,docs/invoices/INV-00091.pdf,none,false,false
INV-00092,P-1BXTEN2,V0189,DPR - Prospect Park Alliance,88152.31,202605,paid,2026-05-20,docs/invoices/INV-00092.pdf,none,false,false
INV-00093,CT2-INTER,V0877,NYC Health + Hospitals/Kings County,613827.17,202605,pending,2026-05-08,docs/invoices/INV-00093.pdf,none,false,false
INV-00094,CWFSBARGE,V0652,K158 P.S. 158 Warwick 400 Ashford Street,8452428.31,202605,paid,2026-05-14,docs/invoices/INV-00094.pdf,none,false,false
INV-00095,HWR00505,V0262,IS 96 Seth Low,529480.62,202605,pending,2026-05-18,docs/invoices/INV-00095.pdf,none,false,false
INV-00096,LQSHRN-23,V0144,P.S. 321 William Penn,7469.84,202605,pending,2026-05-06,docs/invoices/INV-00096.pdf,period,false,false
INV-00097,CWFSHOMEP,V0312,PS 372 The Children's School,2765104.89,202605,paid,2026-05-05,docs/invoices/INV-00097.pdf,none,false,true
INV-00098,ACEDCA214,V0411,The Noel Pointer Foundation,1055662.85,202605,paid,2026-05-16,docs/invoices/INV-00098.pdf,none,false,false
INV-00099,P-3GTACQM,V0604,Hispanic Information & Telecommunication Network Inc.,30286.33,202605,pending,2026-05-02,docs/invoices/INV-00099.pdf,none,false,false
INV-00100,BNY910SBB,V0161,School for Democracy and Leadership,2434524.3,202605,paid,2026-05-11,docs/invoices/INV-00100.pdf,vendor_name,false,false
INV-00101,HWP25QC1,V0232,"Federation of Italian-American Organizations of Brooklyn, Ltd.",3293327.34,202605,pending,2026-05-06,docs/invoices/INV-00101.pdf,none,false,false
INV-00102,P-503WLFP,V0150,PUBLIC SCHOOL 44,632035.35,202605,pending,2026-05-24,docs/invoices/INV-00102.pdf,none,false,false
INV-00103,P-501WLKR,V0402,DOT - Wykoff Safe Street,176899.86,202605,paid,2026-05-22,docs/invoices/INV-00103.pdf,none,false,false
INV-00104,SANDY5-54,V0840,K160 P.S. 160 William T. Sampson 5105 Fort Hamilton Parkway,29041.5,202605,paid,2026-05-24,docs/invoices/INV-00104.pdf,none,false,false
INV-00105,P-2COFEPK,V0009,Gallim Dance Company,12953.29,202605,pending,2026-05-14,docs/invoices/INV-00105.pdf,none,false,false
INV-00106,HWK00504,V0487,"P.S. 397, Foster Laurie",1162.69,202605,pending,2026-05-17,docs/invoices/INV-00106.pdf,none,false,true
INV-00107,SANDG1HS,V0203,New York Blood Center,149232.61,202605,pending,2026-05-11,docs/invoices/INV-00107.pdf,po_id,false,false
INV-00108,FATERMTBC,V0449,Brooklyn Technical High School,191741.81,202605,paid,2026-05-24,docs/invoices/INV-00108.pdf,none,false,false
INV-00109,HW2CR13CW,V0050,Maimonides Medical Center,296116.77,202605,pending,2026-05-11,docs/invoices/INV-00109.pdf,none,false,true
INV-00110,P-303LESP,V0247,Bedford Academy High School,6693.93,202605,denied,2026-05-03,docs/invoices/INV-00110.pdf,none,false,false
INV-00111,P-4DSTG06,V0006,Brooklyn Academy of Music (BAM),525939.09,202605,paid,2026-05-16,docs/invoices/INV-00111.pdf,amount,false,false
INV-00112,P-414RB59,V0385,NYCHA - Howard Houses,200391.59,202605,denied,2026-05-06,docs/invoices/INV-00112.pdf,period,false,false
INV-00113,PW77DDCAC,V0604,Hispanic Information and Telecommunication Network Inc.,38961.85,202605,paid,2026-05-19,docs/invoices/INV-00113.pdf,none,false,true
INV-00114,PW77GLDBR,V0656,I.S. 171 ABRAHAM LINCOLN,833257.24,202605,paid,2026-05-18,docs/invoices/INV-00114.pdf,period,false,false
INV-00115,PS-348A,V0783,DOT - 16th Avenue Trench Restoration,54450.01,202605,paid,2026-05-12,docs/invoices/INV-00115.pdf,none,false,false
INV-00116,P-200884L,V0189,DPR - Prospect Park Alliance,12587.85,202605,paid,2026-05-03,docs/invoices/INV-00116.pdf,none,false,true
INV-00117,P-200884L,V0189,DPR - Prospect Park Alliance,12587.85,202605,pending,2026-05-15,docs/invoices/INV-00117.pdf,none,true,true
INV-00118,CRO-607,V0347,Public School 316 Elijah G. Stroud Elementary School,13122.83,202605,pending,2026-05-20,docs/invoices/INV-00118.pdf,none,false,false
INV-00119,P-1CPIJJP,V0183,"DPR -  Cadman Park Conservancy, Inc.",92158.12,202605,paid,2026-05-07,docs/invoices/INV-00119.pdf,none,false,false
INV-00120,P-1CPIJJP,V0183,"DPR - Cadman Park Conservancy, Inc.",92158.12,202605,pending,2026-05-18,docs/invoices/INV-00120.pdf,none,true,false
INV-00121,911MEMOR,V0155,PS 770 The New American Academy,163549.05,202605,denied,2026-05-03,docs/invoices/INV-00121.pdf,vendor_name,false,false
INV-00122,PWHLDGFND,V0877,NYC Health + Hospitals/Kings County,59175.86,202605,paid,2026-05-24,docs/invoices/INV-00122.pdf,amount,false,false
INV-00123,CS-NC-BAF,V0602,Shema Kolainu,1731083.58,202605,paid,2026-05-27,docs/invoices/INV-00123.pdf,none,false,false
INV-00124,F175MC304,V0562,P.S. 380 John Wayne Elementary,337877.97,202605,paid,2026-05-03,docs/invoices/INV-00124.pdf,none,false,false
INV-00125,P-202CLOT,V0556,"PS/IS 229, Dyker School",794299.57,202605,paid,2026-05-20,docs/invoices/INV-00125.pdf,none,false,false
INV-00126,TF012026,V0520,Public School 161 The Crown,412678.63,202605,denied,2026-05-22,docs/invoices/INV-00126.pdf,none,false,false
INV-00127,P-5FABBAS,V0209,Community Healthcare Network Inc.,41196.63,202605,paid,2026-05-26,docs/invoices/INV-00127.pdf,none,false,false
INV-00128,PV101HVAC,V0199,"DPR - Brooklyn Greenway Initiative, Inc.",427633.17,202605,denied,2026-05-02,docs/invoices/INV-00128.pdf,none,false,false
INV-00129,PW282-2L,V0330,Public School 157-K,322051.39,202605,paid,2026-05-21,docs/invoices/INV-00129.pdf,none,false,false
INV-00130,PWQ77QBH2,V0365,THE BROOKLYN SCHOOL OF INQUIRY,3786.17,202605,paid,2026-05-14,docs/invoices/INV-00130.pdf,none,false,false
INV-00131,SEK200387,V0168,PS 10 - Magnet School Of Math Science & Design Tech,89447.97,202605,denied,2026-05-13,docs/invoices/INV-00131.pdf,period,false,false
INV-00132,PW348-73,V0424,15K519,323013.07,202605,paid,2026-05-03,docs/invoices/INV-00132.pdf,none,false,false
INV-00133,PO79BMAHO,V0035,Ridgewood Bushwick Senior Citizens Council,39689.45,202605,paid,2026-05-27,docs/invoices/INV-00133.pdf,none,false,false
INV-00134,P-200LMBF,V0065,Brooklyn Arts Council,30773.15,202605,paid,2026-05-22,docs/invoices/INV-00134.pdf,none,false,false
INV-00135,CI-142-L,V0972,K891 - The Brooklyn STEAM Center at the Navy Yard,179324.51,202605,pending,2026-05-15,docs/invoices/INV-00135.pdf,none,false,false
INV-00136,CXHP08PAR,V0455,STAR Early College School at Erasmus Hall (17K543),4994060.71,202605,denied,2026-05-23,docs/invoices/INV-00136.pdf,none,false,false
INV-00137,P-105SLRG,V0144,P.S. 321 William Penn,10650.06,202605,paid,2026-05-19,docs/invoices/INV-00137.pdf,none,false,true
INV-00138,ACECUN234,V0411,The Noel Pointer Foundation,631562.24,202605,paid,2026-05-21,docs/invoices/INV-00138.pdf,period,false,false
INV-00139,HL82TREMF,V0144,P.S. 321 WILLIAM PENN,379646.83,202605,paid,2026-05-16,docs/invoices/INV-00139.pdf,none,false,false
INV-00140,P-501SKYL,V0562,P.S. 380 John Wayne Elementary,164127.02,202605,denied,2026-05-16,docs/invoices/INV-00140.pdf,none,false,false
INV-00141,JOC-16-L,V0131,P.S. 247,2632577.16,202605,denied,2026-05-21,docs/invoices/INV-00141.pdf,none,false,false
INV-00142,C75EWNIC,V0975,"PRATT AREA COMMUNITY COUNCIL, INC. (DBA IMPACCT BROOKLYN)",670509.59,202605,paid,2026-05-23,docs/invoices/INV-00142.pdf,po_id,false,false
INV-00143,SER002329,V0045,Brooklyn Bridge Park,1524719.47,202605,pending,2026-05-19,docs/invoices/INV-00143.pdf,none,false,false
INV-00144,HH112CWFR,V0082,Mott Hall Intermediate School,46429.91,202605,paid,2026-05-04,docs/invoices/INV-00144.pdf,none,false,false
INV-00145,CONEYWIRD,V0177,Local Development Corporation of East New York,970682.1,202605,paid,2026-05-09,docs/invoices/INV-00145.pdf,none,false,false
INV-00146,48202003,V0183,"DPR - Cadman Park Conservancy, Inc.",14802.02,202605,paid,2026-05-26,docs/invoices/INV-00146.pdf,none,false,false
INV-00147,HWPR20MCL,V0074,"Ohel Children's Home and Family Services, Inc.",555826.79,202605,pending,2026-05-12,docs/invoices/INV-00147.pdf,none,false,false
INV-00148,P-1KNGSBR,V0163,Central Brooklyn Ascend Charter School,42773.88,202605,pending,2026-05-28,docs/invoices/INV-00148.pdf,none,false,false
INV-00149,P-312INWD,V0216,Bedford Stuyvesant Restoration Corp.,3694.66,202605,paid,2026-05-17,docs/invoices/INV-00149.pdf,none,false,false
INV-00150,P-1CROUL9,V0228,Per Scholas,132773.64,202605,pending,2026-05-28,docs/invoices/INV-00150.pdf,none,false,false
INV-00151,F175WP303,V0204,Kingsbrook Jewish Medical Center,52740.72,202605,paid,2026-05-13,docs/invoices/INV-00151.pdf,none,false,false
INV-00152,BNYFNCLIN,V0189,DPR -  Prospect Park Alliance,685687.24,202605,denied,2026-05-28,docs/invoices/INV-00152.pdf,po_id,false,false
INV-00153,P-4OLMST8,V0074,"Ohel Children's Home and Family Services, Inc.",87804.22,202605,paid,2026-05-28,docs/invoices/INV-00153.pdf,vendor_name,false,false
INV-00154,HBCR24B,V0026,23K363 - Brownsville Collaborative Middle School,1423063.21,202605,paid,2026-05-10,docs/invoices/INV-00154.pdf,none,false,false
INV-00155,STUYBULK2,V0331,Public School 158K - Warwick,200126.91,202605,paid,2026-05-27,docs/invoices/INV-00155.pdf,none,false,false
INV-00156,P-5STFMHN,V0208,Institute for Community Living Inc,23512.53,202605,paid,2026-05-16,docs/invoices/INV-00156.pdf,none,false,false
INV-00157,P-5STFMHN,V0208,INSTITUTE FOR COMMUNITY LIVING,23512.53,202605,pending,2026-05-04,docs/invoices/INV-00157.pdf,none,true,false
INV-00158,21202101,V0006,Brooklyn Academy of Music (BAM),107970.76,202605,paid,2026-05-03,docs/invoices/INV-00158.pdf,none,false,false
INV-00159,HWM1689,V0485,P.S. 309 The George E. Wibecan Preparatory Academy,343751.03,202605,paid,2026-05-14,docs/invoices/INV-00159.pdf,none,false,false
INV-00160,P-4RAINE2,V0443,Aspirations Diploma Plus High School,163499.44,202605,paid,2026-05-19,docs/invoices/INV-00160.pdf,po_id,false,false
INV-00161,PS-348A,V0783,DOT - 16th Avenue Trench Restoration,73129.82,202605,paid,2026-05-19,docs/invoices/INV-00161.pdf,none,false,false
INV-00162,34202401,V0552,P.S. 12--Jacqueline Peek-Davis Elementary School,11293.55,202605,denied,2026-05-11,docs/invoices/INV-00162.pdf,none,false,false
INV-00163,HU001-023,V0877,NYC Health + Hospitals/ Kings County,39912.47,202605,pending,2026-05-19,docs/invoices/INV-00163.pdf,none,false,false
INV-00164,P-411CRPG,V0929,K051 MS 51 William Alexander Middle School,163344.23,202605,denied,2026-05-18,docs/invoices/INV-00164.pdf,none,false,false
INV-00165,P-408HMSC,V0487,"P.S. 397, Foster Laurie",46173.36,202605,pending,2026-05-18,docs/invoices/INV-00165.pdf,none,false,false
INV-00166,HWQ1190-C,V0572,Habitat for Humanity NYC Inc,6216949.09,202605,denied,2026-05-28,docs/invoices/INV-00166.pdf,none,false,false
INV-00167,LNCA13TRE,V0877,NYC Health + Hospitals/ Kings County,49243.08,202605,paid,2026-05-11,docs/invoices/INV-00167.pdf,none,false,true
INV-00168,HWPLZ018M,V0002,Wildlife Conservation Society - New York Aquarium,769008.97,202605,paid,2026-05-10,docs/invoices/INV-00168.pdf,none,false,false
INV-00169,HWPLZ018M,V0002,Wildlife Conservation Society New York Aquarium,769008.97,202605,pending,2026-05-05,docs/invoices/INV-00169.pdf,none,true,false
INV-00170,SANDHMES4,V0026,23K363 - Brownsville Collaborative Middle School,84107.79,202605,paid,2026-05-20,docs/invoices/INV-00170.pdf,none,false,false
INV-00171,P-400ZOO8,V0122,P.S. 040 George W. Carver,480786.92,202605,denied,2026-05-02,docs/invoices/INV-00171.pdf,none,false,false
INV-00172,OH-95-L,V0187,"DPR -  Grand Street District Management Association, Inc.",4603763.11,202605,paid,2026-05-16,docs/invoices/INV-00172.pdf,none,false,false
INV-00173,OH-95-L,V0187,"DPR - Grand Street District Management Association, Inc.",4603763.11,202605,pending,2026-05-12,docs/invoices/INV-00173.pdf,none,true,false
INV-00174,HS040-009,V0009,"Gallim Dance Company, Inc.",20.12,202605,denied,2026-05-03,docs/invoices/INV-00174.pdf,none,false,false
INV-00175,HH112AAFS,V0245,ABRAHAM LINCOLN HIGH SCHOOL,6581.13,202605,paid,2026-05-08,docs/invoices/INV-00175.pdf,none,false,true
INV-00176,P-2LITCHF,V0945,84K730 Summit Academy Charter School,127341.62,202605,paid,2026-05-08,docs/invoices/INV-00176.pdf,none,false,false
INV-00177,SOLARDB1,V0074,"Ohel Children's Home and Family Services, Inc.",302619.57,202605,paid,2026-05-20,docs/invoices/INV-00177.pdf,none,false,false
INV-00178,21202108,V0247,BEDFORD ACADEMY HIGH SCHOOL,556542.51,202605,paid,2026-05-10,docs/invoices/INV-00178.pdf,none,false,false
INV-00179,ACEDOE211,V0312,PS 372 - The Children's School,382340.9,202605,pending,2026-05-12,docs/invoices/INV-00179.pdf,none,false,false
INV-00180,GKCI05-2A,V0208,INSTITUTE FOR COMMUNITY LIVING,681318.05,202605,paid,2026-05-12,docs/invoices/INV-00180.pdf,none,false,false
INV-00181,GKCI05-2A,V0208,INSTITUTE FOR COMMUNITY LIVING,681318.05,202605,pending,2026-05-17,docs/invoices/INV-00181.pdf,none,true,false
INV-00182,P-307SBPG,V0365,THE BROOKLYN SCHOOL OF INQUIRY,70465.22,202605,paid,2026-05-26,docs/invoices/INV-00182.pdf,amount,false,false
