fms_id,budget_line,total_budget,spend_to_date,managing_agency,sponsor_agency,vendor_ids
BX027-015,HN-X002,453859.80,28859.80,CUNY,,V0122
BX038-016,"HN-0206 , HN-D002 , HN-D004",1410988.00,0.00,CUNY,,V0094 V0740 V0786
BX040-017,"HN-0206 , HN-D004",10149329.00,3855563.30,CUNY,,V0520 V0026
BX041-017,"HN-D002 , HN-D004",29840.56,24840.56,CUNY,,V0130
BX042-018,"HN-D004 , HN-X002",1250113.00,0.00,CUNY,,V0554 V0022 V0155
BX044-018,HN-D004,500000.00,0.00,CUNY,,V0530
BX046-019,"HN-D002 , HN-X002",2999608.00,0.00,CUNY,,V0939
BX047-020,HN-X002,500000.00,0.00,CUNY,,V0848
BX049-020,HN-D002,2999898.00,0.00,CUNY,,V0561 V0308 V0475
BY024-012,HN-D300,100000.00,0.00,CUNY,,V0547 V0954
BY025-012,HN-D300,100000.00,0.00,CUNY,,V0305 V0659 V0382
BY031-017,HN-K300,500000.00,0.00,CUNY,,V0562 V0155 V0826
BY032-018,HN-D300,2500000.00,0.00,CUNY,,V0682 V0144
CA001-023,HN-M300,100000.00,0.00,CUNY,,V0144 V0761 V0705
CA001-027,HN-0206,50000000.00,0.00,CUNY,,V0890
CA001QB25,"HN-D002 , HN-D004",1500000.00,0.00,CUNY,,V0026 V0562
CA001QC26,HN-D300,3994000.00,0.00,CUNY,,V0189 V0708 V0043
CA002-021,HN-M300,100000.00,0.00,CUNY,,V0045
CA002-022,"HN-0206 , HN-0300",1442000.00,0.00,CUNY,,V0827 V0084
CA002CA01,HN-0206,599552.00,0.00,CUNY,,V0365
CA003-023,HN-D300,350000.00,0.00,CUNY,,V0618
CA004-021,HN-D004,4999500.00,866950.00,CUNY,,V0341 V0289 V0208
CA004-023,HN-D300,1500000.00,0.00,CUNY,,V0411
CA005-021,HN-M300,100000.00,0.00,CUNY,,V0248 V0476
CA005-022,"HN-0300 , HN-M300",900000.00,0.00,CUNY,,V0115 V0006 V0122
CA006-022,HN-0300,50000.00,0.00,CUNY,,V0574
CA007-022,HN-0300,2600000.00,0.00,CUNY,,V0312 V0443 V0371
CA008QB01,"HN-0206 , HN-D004 , HN-Q001",1748579.00,119359.50,CUNY,,V0499
CA022KG01,HN-0206,10000000.00,131614.73,CUNY,,V0476
CA022KG02,HN-0206,2243334.00,1211555.70,CUNY,,V0782 V0652
CA022QB01,HN-0206,1499615.00,139911.49,CUNY,,V0245
CA025BX01,HN-D002,3230000.00,0.00,CUNY,,V0475 V0056 V0595
CA025QB04,HN-D002,2477000.00,0.00,CUNY,,V0604 V0735
CA025QB05,HN-D002,607000.00,0.00,CUNY,,V0573
CA025QB06,HN-D002,683000.00,0.00,CUNY,,V0150
CA026YC01,"HN-0206 , HN-D004 , HN-D300 , HN-Q300",5143000.00,0.00,CUNY,,V0248 V0450 V0289
CA026YC02,"HN-D300 , HN-Q300",650000.00,0.00,CUNY,,V0490 V0056
CA032-013,HN-D300,1611164.00,1398164.00,CUNY,,V0203 V0611 V0351
CA034HS13,"HN-0206 , HN-D002 , HN-D004",8599000.00,4078730.85,CUNY,,V0818
CA034KG13,HN-D005,126360.00,27823.00,CUNY,,V0209 V0440
CA036-014,HN-X002,2003000.00,3630.53,CUNY,,V0208 V0540
CA049-019,HN-D002,3040064.00,2776371.01,CUNY,,V0130 V0041
CA049-022,HN-D002,2500000.00,0.00,CUNY,,V0572 V0649
CA055QB17,"HN-0206 , HN-Q001",4402059.00,2782132.34,CUNY,,V0248 V0475 V0469
CA056-020,HN-D300,250000.00,0.00,CUNY,,V0017 V0004
CA056QB17,HN-Q001,248000.00,0.00,CUNY,,V0169 V0919 V0274
CA091BX23,"HN-0206 , HN-D002",6250247.00,155099.12,CUNY,,V0009 V0488 V0203
CA091HS96,HN-0206,7000000.00,949097.34,CUNY,,V0411 V0933 V0473
CA091KG02,HN-0206,2714101.00,0.00,CUNY,,V0062
CA091KG03,HN-0206,475675.00,0.00,CUNY,,V0351 V0602
CA091LG22,"HN-0206 , HN-D002",5141815.00,217801.78,CUNY,,V0971 V0954 V0945
CA091LG23,HN-0206,16035401.00,164457.34,CUNY,,V0035 V0035 V0540
CA091QB23,HN-0206,2999711.00,111606.68,CUNY,,V0324 V0448 V0647
CA091QB24,HN-0206,917321.00,93305.10,CUNY,,V0169
CA091QB26,HN-0206,325000.00,30049.44,CUNY,,V0056 V0274 V0289
CA200BX04,"HN-0206 , HN-X002",825475.35,742475.35,CUNY,,V0485 V0016 V0864
CA201BX21,"HN-0206 , HN-D002 , HN-D004 , HN-X001 , HN-X002",3257000.00,135650.56,CUNY,,V0887
CA201MC04,HN-D004,1257861.00,946180.50,CUNY,,V0490 V0311
CA201MC25,HN-D002,1215639.00,0.00,CUNY,,V0982 V0248
CA202-006,HN-0206,717031.88,714031.88,CUNY,,V0785
CA202MC01,"HN-0206 , HN-D002 , HN-M001",4084049.99,3899080.90,CUNY,,V0824 V0248
CA234KG13,"HN-0206 , HN-D002 , HN-D004",10375668.00,476701.27,CUNY,,V0179
CC001-024,HN-M300,250000.00,0.00,CUNY,,V0559 V0622 V0761
CC001-025,"HN-D300 , HN-M300",2000000.00,0.00,CUNY,,V0035
CC001-026,"HN-D300 , HN-M300",3200000.00,0.00,CUNY,,V0006 V0057 V0626
CC002-025,HN-D300,200000.00,0.00,CUNY,,V0487
CC022-012,HN-D300,2399999.99,2077999.99,CUNY,,V0443 V0050
CC026-013,"HN-D300 , HN-M300",6646000.00,0.00,CUNY,,V0840 V0410
CC039-017,HN-D300,200000.00,0.00,CUNY,,V0248 V0056
CC041-018,HN-D300,1800000.00,0.00,CUNY,,V0278 V0931 V0248
CC042-018,HN-D300,1252000.00,0.00,CUNY,,V0966 V0684
CC045-019,HN-D300,1200000.00,0.00,CUNY,,V0502 V0231
CL001-024,"HN-0300 , HN-D300 , HN-Q006 , HN-Q300",9697000.00,0.00,CUNY,,V0878
CL001-026,HN-D300,3700000.00,0.00,CUNY,,V0021 V0596
CL001-027,HN-Q300,1000000.00,0.00,CUNY,,V0877 V0652 V0209
GR001-025,"HN-D300 , HN-M300",299500.00,110250.00,CUNY,,V0144 V0619
GR001-026,"HN-D300 , HN-M300",1200000.00,0.00,CUNY,,V0360
GR010-022,HN-D300,120000.00,0.00,CUNY,,V0247 V0650
GR017-014,"HN-D300 , HN-M300",1585332.32,1446275.74,CUNY,,V0580 V0438
GR018-015,HN-D300,500000.00,0.00,CUNY,,V0248 V0617
GR022-017,"HN-D300 , HN-M300",3604000.00,0.00,CUNY,,V0002 V0377
GR023-017,HN-D300,975000.00,0.00,CUNY,,V0056
GR029-020,"HN-D300 , HN-M300",125000.00,0.00,CUNY,,V0009 V0365
GU031-013,HN-D004,1000000.00,0.00,CUNY,,V0213
GU051-015,HN-D002,31000.00,0.00,CUNY,,V0336
HC001-026,"HN-D300 , HN-M003",750000.00,0.00,CUNY,,V0462 V0084
HC002-024,HN-D002,300000.00,0.00,CUNY,,V0562
HC026-011,HN-D300,300311.00,0.00,CUNY,,V0460 V0312 V0742
HC075-098,"HN-0206 , HN-0244",16462727.55,16441727.55,CUNY,,V0174 V0572 V0172
HC999-000,"HN-0206 , HN-0244 , HN-D300 , HN-M300",1274000.00,0.00,CUNY,,V0094
HS001-024,"HN-D002 , HN-X002",6500000.00,41026.85,CUNY,,V0590 V0519
HS001-027,HN-X002,110000.00,0.00,CUNY,,V0889 V0087 V0604
HS007-010,HN-D004,291412.31,118412.31,CUNY,,V0529 V0150
HS007-022,"HN-0206 , HN-D002 , HN-X002",7000000.00,0.00,CUNY,,V0289 V0869
HS033-007,HN-X002,2000000.00,48587.89,CUNY,,V0486
HS034-007,HN-D004,250000.00,0.00,CUNY,,V0564 V0878
HS040-009,HN-0206,1000.00,0.00,CUNY,,V0009
HS041-011,"HN-0206 , HN-X002",5823820.00,5414291.78,CUNY,,V0045
HS043-011,HN-0206,535000.00,0.00,CUNY,,V0520 V0174
HS047-013,HN-D002,887539.28,837539.28,CUNY,,V0433 V0443 V0248
HS048-013,"HN-0206 , HN-D002",3354572.97,99572.97,CUNY,,V0490
HS050-014,HN-D005,4495000.00,7319.47,CUNY,,V0652 V0475
HS055-098,HN-0206,518440.00,507440.00,CUNY,,V0274 V0188
HS057-019,"HN-D002 , HN-X002",1000000.00,0.00,CUNY,,V0877 V0187 V0174
HS059-021,HN-X002,500000.00,0.00,CUNY,,V0208
HU001-023,HN-D300,1000000.00,0.00,CUNY,,V0877 V0227
HU001-026,"HN-D300 , HN-M300",350000.00,0.00,CUNY,,V0365
HU002-022,HN-0300,4000000.00,0.00,CUNY,,V0841 V0243 V0502
HU002-023,HN-D300,100000.00,0.00,CUNY,,V0002 V0896 V0224
HU002-026,HN-D300,1600000.00,0.00,CUNY,,V0652
HU003-021,HN-D300,4000000.00,0.00,CUNY,,V0090 V0679 V0015
HU003-023,HN-D300,150000.00,0.00,CUNY,,V0216 V0026 V0572
HU004-021,HN-M300,100000.00,0.00,CUNY,,V0203 V0485 V0604
HU011-022,HN-D300,150000.00,0.00,CUNY,,V0937 V0146
HU022-009,"HN-D004 , HN-M004",610103.32,570304.62,CUNY,,V0026 V0537
HU027-013,HN-0300,28290000.00,0.00,CUNY,,V0583 V0562
HU028-015,HN-M300,300000.00,0.00,CUNY,,V0412 V0222 V0035
HU029-015,HN-D300,375000.00,0.00,CUNY,,V0122 V0601 V0421
HU035-016,"HN-D300 , HN-M003",612000.00,0.00,CUNY,,V0187 V0080
HU036-017,"HN-D300 , HN-M300",500000.00,0.00,CUNY,,V0640 V0843
HU037-017,HN-D300,5000000.00,0.00,CUNY,,V0145 V0312
HU039-018,HN-D300,3500000.00,0.00,CUNY,,V0877 V0427
HU040-018,HN-D300,1900000.00,0.00,CUNY,,V0096 V0540 V0208
HU040-019,HN-M300,250000.00,0.00,CUNY,,V0411 V0652 V0652
HU041-019,HN-D300,2285000.00,0.00,CUNY,,V0146 V0169 V0086
HU043-020,HN-D300,4000000.00,0.00,CUNY,,V0154
JJ001-021,HN-M300,100000.00,0.00,CUNY,,V0485
JJ024-017,HN-D300,650000.00,0.00,CUNY,,V0542
JJ029-018,HN-D300,1000000.00,0.00,CUNY,,V0289 V0297
KG001-022,HN-K250,450000.00,0.00,CUNY,,V0730 V0475 V0248
KG001-024,HN-K250,3000000.00,44190.77,CUNY,,V0183 V0146 V0350
KG001-025,HN-K250,2000000.00,0.00,CUNY,,V0780
KG001-026,HN-K002,100000.00,0.00,CUNY,,V0859 V0587
KG002-022,"HN-0206 , HN-D004",2995000.00,134221.30,CUNY,,V0540 V0009
KG002-026,HN-D002,2000000.00,0.00,CUNY,,V0056 V0166
KG025-009,HN-K250,2298032.00,2211996.88,CUNY,,V0174
KG030-012,"HN-D002 , HN-D004",4031992.27,3782251.43,CUNY,,V0411 V0800 V0487
KG031-013,"HN-0206 , HN-D002",8897082.00,406668.60,CUNY,,V0009 V0742
KG037-015,HN-0206,7500000.00,0.00,CUNY,,V0130 V0627 V0562
KG206-006,HN-0206,3281981.00,2975054.61,CUNY,,V0618 V0901 V0652
LAGUARDIA,ED-Q384,413164.06,334535.37,CUNY,,V0562 V0824 V0045
LG001-024,"HN-D002 , HN-Q004",5000000.00,0.00,CUNY,,V0247 V0404 V0216
LG001-026,HN-D002,3000000.00,0.00,CUNY,,V0877
LG001-027,HN-Q004,2000000.00,0.00,CUNY,,V0524 V0035 V0283
LG002-021,HN-D003,75000.00,0.00,CUNY,,V0653
LG002-024,HN-D002,2000000.00,0.00,CUNY,,V0086
LG003-023,"HN-D002 , HN-Q004",7000000.00,0.00,CUNY,,V0975
LG020-009,HN-Q004,8563356.15,8000128.81,CUNY,,V0475 V0247
LG036-014,"HN-0206 , HN-D002 , HN-D004 , HN-Q004",11321409.00,678750.26,CUNY,,V0349 V0203
LG041-016,"HN-D002 , HN-Q004 , HN-Q006",6471906.00,643396.97,CUNY,,V0215 V0800
LG043-018,"HN-D002 , HN-D004 , HN-Q004",8217600.00,265264.39,CUNY,,V0150 V0540
LG071-019,"HN-D002 , HN-Q004",3332000.00,0.00,CUNY,,V0746
LG072-019,HN-D002,150000.00,0.00,CUNY,,V0208
LM001-024,"HN-D300 , HN-X300",3000000.00,0.00,CUNY,,V0470
LM001-026,"HN-D300 , HN-X300",1000000.00,0.00,CUNY,,V0553
LM001-027,HN-X300,75000.00,0.00,CUNY,,V0966 V0002
LM002-021,HN-D300,468000.00,0.00,CUNY,,V0517 V0144 V0485
LM002-027,HN-X300,575000.00,0.00,CUNY,,V0144 V0720
LM019-011,HN-X005,848985.58,809985.58,CUNY,,V0487 V0900 V0843
LM021-012,HN-D300,1958315.07,1475954.07,CUNY,,V0009 V0614
LM022-013,"HN-D300 , HN-X300",895244.20,867244.20,CUNY,,V0956
LM025-014,HN-X300,500035.61,493035.61,CUNY,,V0240 V0070 V0209
LM034-018,"HN-X005 , HN-X300",368000.00,0.00,CUNY,,V0751 V0801
LM036-019,HN-D300,1227000.00,1200000.00,CUNY,,V0848 V0893 V0245
LM041-020,"HN-D300 , HN-X300",699884.00,690381.00,CUNY,,V0086
LM043-021,"HN-0206 , HN-D004 , HN-D300 , HN-X004",1071142.00,576450.36,CUNY,,V0351 V0476 V0002
MC001-021,HN-M005,100000.00,0.00,CUNY,,V0652
MC001-022,"HN-0206 , HN-D002 , HN-D004 , HN-M001",7300000.00,74914.55,CUNY,,V0150 V0734 V0150
MC001-023,HN-D002,2000000.00,0.00,CUNY,,V0886
MC001-024,"HN-D002 , HN-M005",350000.00,0.00,CUNY,,V0826 V0710 V0130
MC001-025,"HN-D002 , HN-M001",350000.00,0.00,CUNY,,V0877 V0245
MC028-010,"HN-M001 , PU-0025",11127438.57,10808588.30,CUNY,,V0572 V0706 V0086
MC029-012,HN-D004,1398670.65,998670.65,CUNY,,V0395 V0063
MC036-016,"HN-D002 , HN-M005",649000.00,0.00,CUNY,,V0381
MC040-018,"HN-D002 , HN-D004",535000.00,0.00,CUNY,,V0862
MC042-018,"HN-D002 , HN-D004",2250000.00,115107.29,CUNY,,V0006
MC045-020,"HN-D002 , HN-M005",1300051.00,0.00,CUNY,,V0652
ME001-023,HN-D300,2700000.00,0.00,CUNY,,V0208 V0209 V0130
ME001-024,HN-D300,4500000.00,0.00,CUNY,,V0208 V0528 V0562
ME001-025,HN-K300,1500000.00,0.00,CUNY,,V0116 V0245
ME001-026,HN-D300,4500000.00,0.00,CUNY,,V0122 V0208 V0155
ME018-005,HN-0206,9726124.52,9651124.52,CUNY,,V0026 V0443
ME027-011,HN-0206,4463368.74,4244368.74,CUNY,,V0144
ME030-013,HN-0206,1701118.00,1700118.00,CUNY,,V0604
ME031-013,HN-D300,1399889.01,1352889.01,CUNY,,V0411 V0216 V0196
ME038-016,HN-D300,1500000.00,0.00,CUNY,,V0508 V0338 V0563
ME039-017,HN-D300,1500000.00,0.00,CUNY,,V0118
ME041-018,HN-D300,1500000.00,0.00,CUNY,,V0056 V0155
ME042-019,HN-D300,2250000.00,0.00,CUNY,,V0150
ME043-020,HN-K300,1000000.00,0.00,CUNY,,V0043
MH040-014,HN-D300,285000.00,0.00,CUNY,,V0653 V0035
MH053-016,HN-D300,100000.00,0.00,CUNY,,V0074 V0221
MH059-017,HN-D300,450000.00,0.00,CUNY,,V0475 V0488
MH060-020,HN-D300,450000.00,0.00,CUNY,,V0384 V0365 V0921
NY001-027,HN-K300,1000000.00,0.00,CUNY,,V0633 V0074 V0572
NY006-009,HN-K002,821905.72,785027.96,CUNY,,V0245 V0274 V0311
NY024-018,"HN-D300 , HN-K300",5704896.00,5250000.00,CUNY,,V0864 V0013
NY025-018,"HN-D300 , HN-K002",10347107.00,7918079.36,CUNY,,V0231 V0009
OFFSHRWND,ED-0075,3758000.00,0.00,CUNY,,V0490 V0597
QB001-021,HN-D004,4106264.00,0.00,CUNY,,V0333
QB001-022,"HN-0206 , HN-D004 , HN-Q001",3423000.00,111242.03,CUNY,,V0208 V0722
QB001-023,"HN-0206 , HN-D002 , HN-Q001",6747000.00,172938.25,CUNY,,V0074 V0208 V0476
QB001-026,HN-Q001,3000000.00,0.00,CUNY,,V0916 V0729
QB002-024,HN-D002,21000.00,0.00,CUNY,,V0009
QB002-025,HN-Q001,232000.00,0.00,CUNY,,V0063
QB002-026,"HN-0206 , HN-D002",7000000.00,0.00,CUNY,,V0144
QB023-004,HN-0206,2500602.88,2342602.88,CUNY,,V0035 V0950
QB031-007,HN-0206,17549653.65,11525642.17,CUNY,,V0174 V0878
QB040-011,"HN-0206 , HN-D004",2299736.76,1181736.76,CUNY,,V0057 V0006
QB041-011,HN-0206,2350350.00,1484054.32,CUNY,,V0707
QB054-016,"HN-D002 , HN-D005",1430832.00,152629.12,CUNY,,V0183 V0115
QB062-020,HN-D002,7317452.00,120446.50,CUNY,,V0652
QB063-020,HN-D002,3000.00,0.00,CUNY,,V0035 V0575
QC001-022,"HN-0206 , HN-D300 , HN-Q300",7763600.00,538362.00,CUNY,,V0187 V0035 V0661
QC001-023,"HN-0300 , HN-D300 , HN-Q300",8657800.00,347547.00,CUNY,,V0926
QC001-025,HN-Q300,500000.00,0.00,CUNY,,V0144 V0210
QC001-027,HN-Q300,700000.00,0.00,CUNY,,V0915
QC002-024,HN-D300,1600000.00,0.00,CUNY,,V0176 V0357
QC002-026,HN-D300,874000.00,0.00,CUNY,,V0169 V0961
QC003-024,HN-D300,200000.00,0.00,CUNY,,V0009 V0035 V0507
QC004-013,HN-Q300,5322768.60,236768.60,CUNY,,V0737
QC006-022,HN-D300,1150000.00,0.00,CUNY,,V0312 V0869 V0485
QC039-011,HN-D300,50000.00,0.00,CUNY,,V0956 V0556
QC047-013,HN-Q300,227000.00,0.00,CUNY,,V0057
QC054-015,HN-D300,3099666.58,3050473.13,CUNY,,V0561 V0269 V0411
QC061-016,"HN-D300 , HN-Q300",1500000.00,0.00,CUNY,,V0057 V0145
QC061-017,HN-D300,1326000.00,0.00,CUNY,,V0527 V0203 V0130
QC065-017,HN-Q300,1000175.00,161175.00,CUNY,,V0045
QC066-017,HN-D300,1999500.00,245500.00,CUNY,,V0203 V0074 V0423
QC070-018,HN-D300,1900000.00,0.00,CUNY,,V0925 V0443
QC074-019,HN-D300,1450000.00,0.00,CUNY,,V0009 V0045
QC075-020,HN-Q300,1000000.00,0.00,CUNY,,V0752 V0263 V0247
QC076-020,HN-D300,1000000.00,0.00,CUNY,,V0652 V0046 V0540
QC078-020,HN-D300,2500000.00,0.00,CUNY,,V0006 V0942
QC079-020,HN-Q300,500433.00,0.00,CUNY,,V0146 V0118 V0878
SAND-KG02,HN-0206,512743.92,26743.92,CUNY,,V0056
SAND-KG03,HN-0206,11064000.00,3019760.88,CUNY,,V0122
SAND-MC01,HN-0206,110000.00,0.00,CUNY,,V0150 V0206 V0520
SEED-YC27,HN-0300,5800000.00,0.00,CUNY,,V0562 V0152 V0644
SJ002-025,HN-D300,216000.00,0.00,CUNY,,V0035
ST001-021,HN-D300,615000.00,0.00,CUNY,,V0367 V0168 V0045
ST001-023,HN-D300,1200000.00,0.00,CUNY,,V0146 V0453 V0056
ST001-025,"HN-D300 , HN-R300",2450000.00,0.00,CUNY,,V0702 V0022
ST002-024,HN-D300,4932000.00,0.00,CUNY,,V0365
ST039-019,"HN-D300 , HN-R001",300160.00,202160.00,CUNY,,V0596
ST041-020,"HN-D300 , HN-R001",1250070.00,53722.00,CUNY,,V0532 V0186 V0443
YC001-010,HN-D300,448000.00,0.00,CUNY,,V0848
YC001-021,HN-D300,1035000.00,0.00,CUNY,,V0572 V0201
YC001-022,HN-Q300,1000000.00,0.00,CUNY,,V0409
YC001-026,"HN-D300 , HN-Q300",2840000.00,0.00,CUNY,,V0386
YC002-024,HN-D300,6000000.00,0.00,CUNY,,V0604 V0035
YC002-025,HN-Q300,1000000.00,0.00,CUNY,,V0146 V0923 V0910
YC008-022,HN-D300,1248000.00,0.00,CUNY,,V0964
YC022-007,HN-D300,411000.00,0.00,CUNY,,V0485 V0498 V0289
YC027-008,HN-Q006,199000.00,0.00,CUNY,,V0951
YC028-008,HN-Q300,145000.00,0.00,CUNY,,V0607
YC049-014,HN-D300,200000.00,0.00,CUNY,,V0138 V0357
YC051-015,HN-D300,484000.00,0.00,CUNY,,V0045 V0189
YC054-017,HN-Q300,640000.00,0.00,CUNY,,V0485
YC055-017,HN-D300,2000000.00,0.00,CUNY,,V0028
YC059-019,HN-D300,4563450.00,2867635.00,CUNY,,V0044
YC061-020,"HN-D300 , HN-Q300",8126785.00,7027785.00,CUNY,,V0130 V0245 V0974
YC062-020,HN-D300,978000.00,0.00,CUNY,,V0379 V0463 V0289
YC063-020,HN-D300,2000000.00,0.00,CUNY,,V0009 V0795 V0009
CA202HS04,"HN-0206 , HN-D002",1403848.61,636848.61,CUNY,CUNY,V0480 V0068
MC024-008,HN-D002,1592955.31,71955.31,CUNY,CUNY,V0056 V0978 V0708
CA019HS01,HN-D005,325188.78,284048.66,CUNY,CUNY,V0006 V0485
BX031-009,,2380779.36,2380779.36,CUNY,CUNY,V0716
CA054BX18,,6973000.00,4229239.94,CUNY,CUNY,V0562 V0804
CA091LG19,,0.00,0.00,CUNY,CUNY,V0540 V0033 V0289
HS054-017,HN-D002,7648339.00,7186468.98,CUNY,CUNY,V0245 V0289 V0144
CA022BX01,"HN-0206 , HN-D002 , HN-D003 , HN-D004",31444193.00,710300.46,CUNY,CUNY,V0056 V0487
CA200BX21,HN-0206,22499871.00,19426869.82,CUNY,CUNY,V0443
YC002-023,HN-D300,1500000.00,0.00,CUNY,CUNY,V0009 V0655
CA034QB13,HN-0206,1540263.00,570804.12,CUNY,CUNY,V0274 V0132 V0046
CA091QB25,HN-0206,650359.00,132454.04,CUNY,CUNY,V0248 V0026
KG045-020,HN-0206,7963208.00,0.00,CUNY,CUNY,V0411 V0878
CC001-022,HN-0300,2499500.00,477950.47,CUNY,CUNY,V0534 V0619
GU001-012,HN-D002,392594.00,282178.94,CUNY,CUNY,V0891
29202604,"HO-0214 , PU-0025",22920000.00,0.00,DCAS,,V0652
34202601,PU-0025,2700000.00,0.00,DCAS,,V0448 V0209
52CHAMELV,PW-0077,25908000.00,0.00,DCAS,,V0272 V0485
ACEDCA214,PU-0025,22297000.00,0.00,DCAS,,V0411 V0351
ACEDCA222,PU-0025,877000.00,0.00,DCAS,,V0411 V0169
ACEDCA501,PU-0025,9746000.00,0.00,DCAS,,V0786
ACEDEP211,PU-0025,31625000.00,0.00,DCAS,,V0252 V0247
ACEDEP213,PU-0025,10000000.00,0.00,DCAS,,V0655 V0644 V0453
ACEDPR704,PU-0025,0.00,0.00,DCAS,,V0540 V0174
ACEFIT211,PU-0025,2665877.00,0.00,DCAS,,V0475 V0401 V0045
ACEFIT241,PU-0025,1010291.00,0.00,DCAS,,V0604 V0259
C114ACADY,PU-0025,2031000.00,0.00,DCAS,,V0562 V0636 V0877
C75BULOVA,C -0075,1016000.00,0.00,DCAS,,V0074
CO264CADA,CO-0264,13000.00,0.00,DCAS,,V0843
CO264DCAS,CO-0264,91801000.00,0.00,DCAS,,V0002
CO264MN60,CO-0264,390404000.00,0.00,DCAS,,V0866 V0377 V0940
CO264SIMP,CO-0264,370064000.00,0.00,DCAS,,V0476 V0245 V0302
CO278CELL,CO-0278,5910000.00,0.00,DCAS,,V0183 V0443
